"ERNnem","HostSpecies","PathogenSpecies","PathogenStrain","StageInfected","TissueInfected","FieldOrLab","Country","SoilType","AssociatedBacterium","IntermediateHost","CreationDate","ModificationDate","Group","HostTaxID","HostGenus","HostFamily","HostOrder","HostClass","PathTaxID","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom"
50,"Cydia pomonella","Steinernema carpocapsae","Czechoslovakian","Larva","Hemocoel","Field","Czech Republic","","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",82600,"Cydia","Tortricidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
51,"Cydia pomonella","Steinernema carpocapsae","not maintained","Larva","Hemocoel","Field","Poland","orchards","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",82600,"Cydia","Tortricidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
52,"Cydia pomonella","Steinernema carpocapsae","XI","Larva","Hemocoel","Field","Poland, Italy","orchards","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",82600,"Cydia","Tortricidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
53,"Cydia pomonella","Steinernema carpocapsae","not maintained","Larva","Hemocoel","Field","Italy","orchards","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",82600,"Cydia","Tortricidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
54,"Cydia pomonella","Steinernema carpocapsae","DD517","Larva","Hemocoel","Field","","","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",82600,"Cydia","Tortricidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
55,"Agrotis segetum","Steinernema carpocapsae","XIII","Larva","Hemocoel","Field","Poland","farmed land","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",47767,"Agrotis","Noctuidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
225,"Mamestra brassicae","Steinernema carpocapsae","not maintained","LarvaPupa","Hemocoel","Field","Poland","vegetables","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",55057,"Mamestra","Noctuidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
56,"Helicoverpa armigera","Steinernema carpocapsae","chresima (syn.)","Larva","Hemocoel","Field","USA","grain","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",29058,"Helicoverpa","Noctuidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
226,"Pieris brassicae","Steinernema carpocapsae","XIV (Pieridarum)","LarvaPupa","Hemocoel","Field","Poland","vegetables","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",7116,"Pieris","Pieridae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
57,"Vitacea polistiformis","Steinernema carpocapsae","All","Larva","Hemocoel","Field","USA","","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",348704,"Vitacea","Sesiidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
58,"Semiothisa pumila","Steinernema carpocapsae","semiothisae (syn.)","Larva","Hemocoel","Field","","","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",NA,NA,NA,NA,NA,34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
59,"Pardileus calceatus","Steinernema feltiae","not maintained","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
60,"Selatosomus melancholicus","Steinernema feltiae","not maintained","Larva","Hemocoel","Field","Russia","loamy sand / pasture","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",1490103,"Selatosomus","Elateridae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
61,"Pytho depressus","Steinernema feltiae","not maintained","Larva","Hemocoel","Field","Russia","loamy sand","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",295987,"Pytho","Pythidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
62,"Rhagium inquisitor","Steinernema feltiae","not maintained","Larva","Hemocoel","Field","Russia","loamy sand","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",933255,"Rhagium","Cerambycidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
63,"Amphimallon solstitialis","Steinernema feltiae","georgica (syn.)","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",360071,"Amphimallon","Scarabaeidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
64,"Melolontha afflicta","Steinernema feltiae","bothynoderi (syn.)","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
65,"Onitis alexis","Steinernema feltiae","not maintained","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",206751,"Onitis","Scarabaeidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
66,"Pentodon algerinum","Steinernema feltiae","not maintained","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",207357,"Pentodon","Scarabaeidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
67,"Capnodis tenebrionis","Steinernema feltiae","not maintained","Larva","Hemocoel","Field","Spain","loamy sand / orchards","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",1366398,"Capnodis","Buprestidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
68,"Graphognathus leucoloma","Steinernema feltiae","N60","Larva","Hemocoel","Field","New Zealand","","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",299136,"Naupactus","Curculionidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
69,"Otiorhynchus sulcatus","Steinernema feltiae","T335","Larva","Hemocoel","Field","Tazmania","","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",122849,"Otiorhynchus","Curculionidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
70,"Otiorhynchus ovatus","Steinernema feltiae","SFS8","Larva","Hemocoel","Field","Finland","loamy sand / strawberries","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",202098,"Otiorhynchus","Curculionidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
71,"Otiorhynchus dubius","Steinernema feltiae","SFS8","Larva","Hemocoel","Field","Finland","loamy sand / berries","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
72,"Phyllobius urticae","Steinernema feltiae","Kle 3","Larva","Hemocoel","Field","Germany","loamy sand / strawberries","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
73,"Bothynoderis punctiventris","Steinernema feltiae","bothynoderi (syn.)","Larva","Hemocoel","Field","","farmed land (sugarbeet?)","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
74,"Temnorrrhinus mendicus","Steinernema feltiae","menozzi (syn.)","Larva","Hemocoel","Field","Italy","public green (sugarbeet)","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
12,"Hylobius abietis","Steinernema feltiae","not maintained","Adult","Hemocoel","Field","Czech Republic","coniferous forest","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",201999,"Hylobius","Curculionidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
75,"Bibio hortulana","Steinernema feltiae","bibionis (syn.)","Larva","Hemocoel","Field","Denmark","pasture","Xenorhabdus bovienii","none",1997-05-14,2000-12-28,"Nematode",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
76,"Bibio ferruginatus","Steinernema feltiae","bibionis (syn.)","Larva","Hemocoel","Field","Denmark","pasture","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
77,"Bibio fulviventris","Steinernema feltiae","bibionis (syn.)","Larva","Hemocoel","Field","Germany","litter / coniferous forest, deciduous forest","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
78,"Bibio laniger","Steinernema feltiae","bibionis (syn.)","Larva","Hemocoel","Field","Germany","litter / coniferous forest, deciduous forest","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
79,"Bibio varipes","Steinernema feltiae","bibionis (syn.)","Larva","Hemocoel","Field","Germany","litter / coniferous & deciduous forest","Xenorhabdus bovienii","none",1997-05-14,1999-02-12,"Nematode",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
80,"Helicoverpa armigera","Steinernema feltiae","Pinnock","Larva","Hemocoel","Field","Australia","","Xenorhabdus bovienii","none",1997-05-26,1999-02-12,"Nematode",29058,"Helicoverpa","Noctuidae","Lepidoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
81,"Crambus simplex","Steinernema feltiae","leucaniae (syn.)","Larva","Hemocoel","Field","New Zealand","orchards (tussock base)","Xenorhabdus bovienii","none",1997-05-26,1999-02-12,"Nematode",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
231,"Leucania acontistis","Steinernema feltiae","leucaniae (syn.)","Pupa","Hemocoel","Field","New Zealand"," orchards (tussock base)","Xenorhabdus bovienii","none",1997-05-26,1999-02-12,"Nematode",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
82,"Agrotis ipsilon","Steinernema feltiae","CA","Larva","Hemocoel","Field","New Zealand, Spain","clay loam / home gardens, maize","Xenorhabdus bovienii","none",1997-05-26,1999-02-12,"Nematode",56364,"Agrotis","Noctuidae","Lepidoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
83,"Agrotis segetum","Steinernema feltiae","not maintained ","Larva","Hemocoel","Field","Spain","clay loam / maize","Xenorhabdus bovienii","none",1997-05-26,1999-02-12,"Nematode",47767,"Agrotis","Noctuidae","Lepidoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
84,"Agrotinae sp.","Steinernema feltiae","not maintained","Larva","Hemocoel","Field","Russia","loamy sand / pasture","Xenorhabdus bovienii","none",1997-05-26,1999-02-12,"Nematode",7100,NA,"Noctuidae","Lepidoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
