PathogenSpecies,PathTaxID,PathGenus,PathFamily,PathOrder,PathClass,PathKingdom
Gurleya legeri,NA,NA,NA,NA,NA,NA
Gurleya linearis,NA,NA,NA,NA,NA,NA
Gurleya secalisae,NA,NA,NA,NA,NA,NA
Gurleya sp.,174687,Gurleya,Gurleyidae,NA,NA,Fungi
Hessea squamosa,NA,NA,NA,NA,NA,NA
Cystosporogenes operophterae ,136618,Cystosporogenes,Glugeidae,NA,NA,Fungi
Cystosporogenes pristiphorae ,NA,NA,NA,NA,NA,NA
Stempellia magna,NA,NA,NA,NA,NA,NA
Stempellia mutabilis,NA,NA,NA,NA,NA,NA
Tardivesicula duplicata ,NA,NA,NA,NA,NA,NA
Pleistophora bohemica,NA,NA,NA,NA,NA,NA
Telomyxa glugeiformis,NA,NA,NA,NA,NA,NA
Telomyxa muscarum,NA,NA,NA,NA,NA,NA
Telomyxa trichopterae,NA,NA,NA,NA,NA,NA
Microsporidium longifilum,NA,NA,NA,NA,NA,NA
Microsporidium mesnili,NA,NA,NA,NA,NA,NA
Microsporidium calopterygis,NA,NA,NA,NA,NA,NA
Microsporidium chapmani,NA,NA,NA,NA,NA,NA
Microsporidium chironomi,NA,NA,NA,NA,NA,NA
Microsporidium debaisieuxi,NA,NA,NA,NA,NA,NA
Microsporidium ephemerae,NA,NA,NA,NA,NA,NA
Microsporidium eriogastri,NA,NA,NA,NA,NA,NA
Microsporidium francottei,NA,NA,NA,NA,NA,NA
Microsporidium hyphantriae,NA,NA,NA,NA,NA,NA
Microsporidium legeri,NA,NA,NA,NA,NA,NA
Microsporidium leptophlebiae,NA,NA,NA,NA,NA,NA
Microsporidium micrococcus,NA,NA,NA,NA,NA,NA
Microsporidium mutabilis,NA,NA,NA,NA,NA,NA
Microsporidium portugal,NA,NA,NA,NA,NA,NA
Microsporidium orthocladii,NA,NA,NA,NA,NA,NA
Microsporidium polysporum,NA,NA,NA,NA,NA,NA
Microsporidium romania,NA,NA,NA,NA,NA,NA
Microsporidium rubstovi,NA,NA,NA,NA,NA,NA
Microsporidium tabani,NA,NA,NA,NA,NA,NA
Microsporidium termitis,NA,NA,NA,NA,NA,NA
Microsporidium thailand,NA,NA,NA,NA,NA,NA
Microsporidium thomsoni,NA,NA,NA,NA,NA,NA
Microsporidium tuzetae,NA,NA,NA,NA,NA,NA
Nosema  sp. ,27977,Nosema,Nosematidae,NA,NA,Fungi
Buxtehudea scaniae ,NA,NA,NA,NA,NA,NA
Chytridiopsis aquaticus,NA,NA,NA,NA,NA,NA
Chytridiopsis clerci,NA,NA,NA,NA,NA,NA
Chytridiopsis socius,NA,NA,NA,NA,NA,NA
Nolleria pulicis ,NA,NA,NA,NA,NA,NA
Caudospora alaskensis,NA,NA,NA,NA,NA,NA
Caudospora nasiae,NA,NA,NA,NA,NA,NA
Caudospora pennsylvanica,NA,NA,NA,NA,NA,NA
Caudospora polymorpha,NA,NA,NA,NA,NA,NA
Caudospora simulii,322689,Caudospora,Caudosporidae,NA,NA,Fungi
Caudospora sp.,NA,NA,NA,NA,NA,NA
Octosporea carlochagasi,NA,NA,NA,NA,NA,NA
Octosporea chironomi,NA,NA,NA,NA,NA,NA
Octosporea corethrae,NA,NA,NA,NA,NA,NA
Octosporea ephestiae,NA,NA,NA,NA,NA,NA
Octosporea intestinalis,NA,NA,NA,NA,NA,NA
Octosporea monospora,NA,NA,NA,NA,NA,NA
Octosporea muscaedomesticae,753625,Octosporea,NA,NA,NA,Fungi
Octosporea simulii,NA,NA,NA,NA,NA,NA
Octosporea sp.,657446,Octosporea,NA,NA,NA,Fungi
Octosporea viridanae,NA,NA,NA,NA,NA,NA
Ringueletium pillosa ,NA,NA,NA,NA,NA,NA
Weiseria  laurenti,NA,NA,NA,NA,NA,NA
Weiseria sommermanae,NA,NA,NA,NA,NA,NA
Weiseria sp.,102171,Weiseria,Caudosporidae,NA,NA,Fungi
Culicosporella lunata ,70534,Culicosporella,Caudosporidae,NA,NA,Fungi
Culicospora magna,191624,Culicospora,Caudosporidae,NA,NA,Fungi
Edhazardia aedis ,70536,Edhazardia,Culicosporidae,NA,NA,Fungi
Hazardia milleri ,191605,Hazardia,Gurleyidae,NA,NA,Fungi
Hirsutusporos austrosimulii ,NA,NA,NA,NA,NA,NA
Issia trichopterae ,NA,NA,NA,NA,NA,NA
Nosema acridophagus,307626,Tubulinosema,Tubulinosematidae,NA,NA,Fungi
Nosema aedis,NA,NA,NA,NA,NA,NA
Nosema aeschnae,NA,NA,NA,NA,NA,NA
Nosema albimanus,NA,NA,NA,NA,NA,NA
Nosema algerae,723287,Anncaliia,Tubulinosematidae,NA,NA,Fungi
Nosema apis,35231,Nosema,Nosematidae,NA,NA,Fungi
Nosema aporivora,NA,NA,NA,NA,NA,NA
Nosema astyrae,NA,NA,NA,NA,NA,NA
Nosema auriflammae,NA,NA,NA,NA,NA,NA
Nosema baetis,NA,NA,NA,NA,NA,NA
Nosema bialoviesianae,NA,NA,NA,NA,NA,NA
Nosema bibionis,NA,NA,NA,NA,NA,NA
Nosema binucleatum,NA,NA,NA,NA,NA,NA
Nosema bombi,40135,Nosema,Nosematidae,NA,NA,Fungi
Nosema bombycis,27978,Nosema,Nosematidae,NA,NA,Fungi
Nosema cacoeciae,NA,NA,NA,NA,NA,NA
Nosema cactoblastis,NA,NA,NA,NA,NA,NA
Nosema cactorum,NA,NA,NA,NA,NA,NA
Nosema campoletidis,NA,NA,NA,NA,NA,NA
Nosema cannae,NA,NA,NA,NA,NA,NA
Nosema cardiochilis,NA,NA,NA,NA,NA,NA
Nosema carpocapsae ,182076,Nosema,Nosematidae,NA,NA,Fungi
Nosema cerasivoranae,NA,NA,NA,NA,NA,NA
Nosema cheisini,NA,NA,NA,NA,NA,NA
Nosema chironomi,NA,NA,NA,NA,NA,NA
Nosema coccinellae,NA,NA,NA,NA,NA,NA
Nosema coliadis,NA,NA,NA,NA,NA,NA
Nosema cossi,NA,NA,NA,NA,NA,NA
Nosema costelytrae,40987,Nosema,Nosematidae,NA,NA,Fungi
Nosema crataeganae,NA,NA,NA,NA,NA,NA
Nosema culicis,NA,NA,NA,NA,NA,NA
Nosema cuneatum,NA,NA,NA,NA,NA,NA
Nosema curvidentis,NA,NA,NA,NA,NA,NA
Nosema cynaea,NA,NA,NA,NA,NA,NA
Nosema dendroctoni,NA,NA,NA,NA,NA,NA
Nosema destructor,NA,NA,NA,NA,NA,NA
Nosema disstriae,481673,Nosema,Nosematidae,NA,NA,Fungi
Nosema empoascae,417334,Nosema,Nosematidae,NA,NA,Fungi
Nosema ephialtis,NA,NA,NA,NA,NA,NA
Nosema epilachnae,33693,Nosema,Nosematidae,NA,NA,Fungi
Nosema erippi,NA,NA,NA,NA,NA,NA
Nosema eubules,NA,NA,NA,NA,NA,NA
Nosema fumiferanae,481674,Nosema,Nosematidae,NA,NA,Fungi
Nosema furnacalis,40301,Nosema,Nosematidae,NA,NA,Fungi
Nosema gasti,NA,NA,NA,NA,NA,NA
Nosema gibbsi,NA,NA,NA,NA,NA,NA
Nosema halesidotidis,NA,NA,NA,NA,NA,NA
Nosema heliothidis,33694,Nosema,Nosematidae,NA,NA,Fungi
Nosema hippodamiae,NA,NA,NA,NA,NA,NA
Nosema hydraeciae,NA,NA,NA,NA,NA,NA
Nosema hydriae,NA,NA,NA,NA,NA,NA
Nosema hyperae,NA,NA,NA,NA,NA,NA
Nosema infesta,NA,NA,NA,NA,NA,NA
Nosema invadens,NA,NA,NA,NA,NA,NA
Nosema junonis,NA,NA,NA,NA,NA,NA
Nosema kingii,NA,NA,NA,NA,NA,NA
Nosema kovacevici,322054,Nosema,Nosematidae,NA,NA,Fungi
Nosema laphygmae,NA,NA,NA,NA,NA,NA
Nosema leptinotarsae,2689131,Nosema,Nosematidae,NA,NA,Fungi
Nosema leptocoridis,NA,NA,NA,NA,NA,NA
Nosema lepturae,NA,NA,NA,NA,NA,NA
Nosema locustae,278021,Antonospora,NA,NA,NA,Fungi
Nosema lophocampae,NA,NA,NA,NA,NA,NA
Nosema lotmarae,NA,NA,NA,NA,NA,NA
Nosema lutzi,NA,NA,NA,NA,NA,NA
Nosema lymantriae,1295507,Nosema,Nosematidae,NA,NA,Fungi
Nosema lysimniae,NA,NA,NA,NA,NA,NA
Nosema melolonthae,NA,NA,NA,NA,NA,NA
Nosema murinanae,NA,NA,NA,NA,NA,NA
Nosema muscularis,NA,NA,NA,NA,NA,NA
Nosema nebulellum,NA,NA,NA,NA,NA,NA
Nosema nepae,NA,NA,NA,NA,NA,NA
Nosema nonagriae,NA,NA,NA,NA,NA,NA
Nosema operophterae  ,NA,NA,NA,NA,NA,NA
Nosema oryzaephili,759752,Paranosema,Nosematidae,NA,NA,Fungi
Nosema pediculusvestimenti,NA,NA,NA,NA,NA,NA
Nosema perezioides,NA,NA,NA,NA,NA,NA
Nosema phalerae,NA,NA,NA,NA,NA,NA
Nosema phryganidiae ,NA,NA,NA,NA,NA,NA
Nosema phyllotretae,NA,NA,NA,NA,NA,NA
Nosema pilicornis,2163538,Nosema,Nosematidae,NA,NA,Fungi
Nosema polygrammae,NA,NA,NA,NA,NA,NA
Nosema polyvora,NA,NA,NA,NA,NA,NA
Nosema pulicis,NA,NA,NA,NA,NA,NA
Nosema pyrausta,33697,Nosema,Nosematidae,NA,NA,Fungi
Nosema scolyti,NA,NA,NA,NA,NA,NA
Nosema scripta,NA,NA,NA,NA,NA,NA
Nosema serbica,321822,Nosema,Nosematidae,NA,NA,Fungi
Nosema sesiae,NA,NA,NA,NA,NA,NA
Nosema sphaeromiadis,NA,NA,NA,NA,NA,NA
Nosema sphingidis,NA,NA,NA,NA,NA,NA
Nosema stegomyiae,NA,NA,NA,NA,NA,NA
Nosema strictum,NA,NA,NA,NA,NA,NA
Nosema takapauensis,NA,NA,NA,NA,NA,NA
Nosema tatrica,NA,NA,NA,NA,NA,NA
Nosema thomsoni ,481677,Nosema,Nosematidae,NA,NA,Fungi
Nosema tortricis,NA,NA,NA,NA,NA,NA
Nosema trichoplusiae,35227,Nosema,Nosematidae,NA,NA,Fungi
Nosema typographi,NA,NA,NA,NA,NA,NA
Nosema vanillae,NA,NA,NA,NA,NA,NA
Nosema varivestis,NA,NA,NA,NA,NA,NA
Nosema veliae,NA,NA,NA,NA,NA,NA
Nosema weiseri,NA,NA,NA,NA,NA,NA
Nosema whitei,235220,Nosema,Nosematidae,NA,NA,Fungi
Nosema zavreli,NA,NA,NA,NA,NA,NA
Nosema zwoelferi,NA,NA,NA,NA,NA,NA
Ovavesicula popilliae,446473,Ovavesicula,Pleistophoridae,NA,NA,Fungi
Endoreticulatus fidelis,NA,NA,NA,NA,NA,NA
Pleistophora blattae,NA,NA,NA,NA,NA,NA
Pleistophora caecorum,NA,NA,NA,NA,NA,NA
Pleistophora californica,NA,NA,NA,NA,NA,NA
Pleistophora carpocapsae,NA,NA,NA,NA,NA,NA
Pleistophora centroptili,NA,NA,NA,NA,NA,NA
Pleistophora collessi,NA,NA,NA,NA,NA,NA
Pleistophora culicis,NA,NA,NA,NA,NA,NA
Pleistophora dixipi,NA,NA,NA,NA,NA,NA
Pleistophora enterobia,NA,NA,NA,NA,NA,NA
Pleistophora geotrupina,NA,NA,NA,NA,NA,NA
Pleistophora jiroveci,NA,NA,NA,NA,NA,NA
Pleistophora kudoi,NA,NA,NA,NA,NA,NA
Pleistophora leasei,NA,NA,NA,NA,NA,NA
Pleistophora legeri,236506,Cystosporogenes,Glugeidae,NA,NA,Fungi
Pleistophora lutzi,NA,NA,NA,NA,NA,NA
Pleistophora milesi,NA,NA,NA,NA,NA,NA
Pleistophora mochlonicis,NA,NA,NA,NA,NA,NA
Pleistophora multispora,NA,NA,NA,NA,NA,NA
Pleistophora neustriae,NA,NA,NA,NA,NA,NA
Pleistophora operophterae,NA,NA,NA,NA,NA,NA
Pleistophora ovalis,NA,NA,NA,NA,NA,NA
Pleistophora plectopterae,NA,NA,NA,NA,NA,NA
Pleistophora reciprocaria,NA,NA,NA,NA,NA,NA
Pleistophora schubergi aporiae,NA,NA,NA,NA,NA,NA
Pleistophora schubergi balbianii,NA,NA,NA,NA,NA,NA
Pleistophora schubergi fumiferanae,NA,NA,NA,NA,NA,NA
Pleistophora schubergi hyphantriae,NA,NA,NA,NA,NA,NA
Pleistophora schubergi noctuidae,NA,NA,NA,NA,NA,NA
Pleistophora schubergi pandemis,NA,NA,NA,NA,NA,NA
Pleistophora schubergi schubergi,NA,NA,NA,NA,NA,NA
Pleistophora simulii,103456,Polydispyrenia,NA,NA,NA,Fungi
Pleistophora sp.,35233,Pleistophora,Pleistophoridae,NA,NA,Fungi
Pleistophora tanzaniae,NA,NA,NA,NA,NA,NA
Pleistophora thienemanni,NA,NA,NA,NA,NA,NA
Pleistophora tillingbournei,NA,NA,NA,NA,NA,NA
Pleistophora vayssierei,NA,NA,NA,NA,NA,NA
Pleistophora waltairensis,NA,NA,NA,NA,NA,NA
Vavraia culicis,103449,Vavraia,Pleistophoridae,NA,NA,Fungi
Vavraia oncoperae,35236,Vavraia,Pleistophoridae,NA,NA,Fungi
Tuzetia entericola,NA,NA,NA,NA,NA,NA
Tuzetia lipotropha,NA,NA,NA,NA,NA,NA
Oligosporidium arachnicolum ,NA,NA,NA,NA,NA,NA
Orthosomella operophterae ,148817,Orthosomella,Unikaryonidae,NA,NA,Fungi
Amblyospora benigna,NA,NA,NA,NA,NA,NA
Amblyospora bicortex,NA,NA,NA,NA,NA,NA
Amblyospora bolinasae,NA,NA,NA,NA,NA,NA
Amblyospora bracteata,191599,Amblyospora,Amblyosporidae,NA,NA,Fungi
Amblyospora californica,51588,Amblyospora,Amblyosporidae,NA,NA,Fungi
Amblyospora callosa,NA,NA,NA,NA,NA,NA
Amblyospora campbelli,NA,NA,NA,NA,NA,NA
Amblyospora canadensis,191594,Amblyospora,Amblyosporidae,NA,NA,Fungi
Amblyospora connecticus,67759,Amblyospora,Amblyosporidae,NA,NA,Fungi
Amblyospora gigantea,NA,NA,NA,NA,NA,NA
Amblyospora inimica,NA,NA,NA,NA,NA,NA
Amblyospora keenani,NA,NA,NA,NA,NA,NA
Amblyospora khaliulini,191589,Amblyospora,Amblyosporidae,NA,NA,Fungi
Amblyospora lairdi,NA,NA,NA,NA,NA,NA
Amblyospora minuta,NA,NA,NA,NA,NA,NA
Amblyospora noxia,NA,NA,NA,NA,NA,NA
Amblyospora opacita,191593,Amblyospora,Amblyosporidae,NA,NA,Fungi
Amblyospora sp.,33687,Amblyospora,Amblyosporidae,NA,NA,Fungi
Amblyospora unica,NA,NA,NA,NA,NA,NA
Parathelohania legeri,NA,NA,NA,NA,NA,NA
Tricornia muhezae ,NA,NA,NA,NA,NA,NA
Burenella dimorpha,NA,NA,NA,NA,NA,NA
Evlachovaia chironomi ,NA,NA,NA,NA,NA,NA
Pilosporella chapmani,NA,NA,NA,NA,NA,NA
Pilosporella fishii,NA,NA,NA,NA,NA,NA
Vairimorpha bulgaria,NA,NA,NA,NA,NA,NA
Vairimorpha heterosporum,33699,Vairimorpha,Burenellidae,NA,NA,Fungi
Vairimorpha lymantriae,27968,Vairimorpha,Burenellidae,NA,NA,Fungi
Vairimorpha necatrix,6039,Vairimorpha,Burenellidae,NA,NA,Fungi
Vairimorpha plodiae,2163540,Vairimorpha,Burenellidae,NA,NA,Fungi
Vairimorpha  sp.,6038,Vairimorpha,Burenellidae,NA,NA,Fungi
Cylindrospora chironomi ,NA,NA,NA,NA,NA,NA
Duboscqia legeri,NA,NA,NA,NA,NA,NA
Mitoplistophora angularis,NA,NA,NA,NA,NA,NA
Pegmatheca simulii,NA,NA,NA,NA,NA,NA
Polydispyrenia simulii ,103456,Polydispyrenia,NA,NA,NA,Fungi
Trichoduboscqia epeori,NA,NA,NA,NA,NA,NA
Duboscqia chironomi ,NA,NA,NA,NA,NA,NA
Duboscqia coptotermi,NA,NA,NA,NA,NA,NA
Janacekia debaisieuxi ,103452,Janacekia,Tuzetiidae,NA,NA,Fungi
Helmichia aggregata ,NA,NA,NA,NA,NA,NA
Striatospora chironomi ,NA,NA,NA,NA,NA,NA
Bohuslavia asterias,NA,NA,NA,NA,NA,NA
Chapmanium cirritus,NA,NA,NA,NA,NA,NA
Chapmanium nepae,NA,NA,NA,NA,NA,NA
Cryptosporina brachyfila,NA,NA,NA,NA,NA,NA
Hyalinocysta chapmani,200885,Hyalinocysta,Thelohaniidae,NA,NA,Fungi
Hyalinocysta sp.,200884,Hyalinocysta,Thelohaniidae,NA,NA,Fungi
Napamichum dispersus ,NA,NA,NA,NA,NA,NA
Neoperezia chironomi ,1028727,Neoperezia,NA,NA,NA,Fungi
Nudispora biformis  ,NA,NA,NA,NA,NA,NA
Parathelohania africana,NA,NA,NA,NA,NA,NA
Parathelohania anomala,NA,NA,NA,NA,NA,NA
Parathelohania barra,NA,NA,NA,NA,NA,NA
Parathelohania illinoisensis,NA,NA,NA,NA,NA,NA
Parathelohania indica,NA,NA,NA,NA,NA,NA
Parathelohania obesa,191598,Parathelohania,Amblyosporidae,NA,NA,Fungi
Parathelohania obscura,NA,NA,NA,NA,NA,NA
Parathelohania periculosa,NA,NA,NA,NA,NA,NA
Parathelohania sp.,33689,Parathelohania,Amblyosporidae,NA,NA,Fungi
Resiomeria odonatae ,NA,NA,NA,NA,NA,NA
Spherospora andinae ,NA,NA,NA,NA,NA,NA
Spiroglugea octospora ,NA,NA,NA,NA,NA,NA
Systenostrema tabani,NA,NA,NA,NA,NA,NA
Thelohania argyresthiae,NA,NA,NA,NA,NA,NA
Thelohania asterias,NA,NA,NA,NA,NA,NA
Thelohania avacuolata,NA,NA,NA,NA,NA,NA
Thelohania baetica,NA,NA,NA,NA,NA,NA
Thelohania bertrami,NA,NA,NA,NA,NA,NA
Thelohania breindli,NA,NA,NA,NA,NA,NA
Thelohania canningae,NA,NA,NA,NA,NA,NA
Thelohania cepedei,NA,NA,NA,NA,NA,NA
Thelohania cheimatobiae,NA,NA,NA,NA,NA,NA
Thelohania columbaczense,NA,NA,NA,NA,NA,NA
Thelohania dasychirae,NA,NA,NA,NA,NA,NA
Thelohania disparis,357503,Thelohania,Thelohaniidae,NA,NA,Fungi
Thelohania fibrata,NA,NA,NA,NA,NA,NA
Thelohania grassii,NA,NA,NA,NA,NA,NA
Thelohania hessei,NA,NA,NA,NA,NA,NA
Thelohania janus,NA,NA,NA,NA,NA,NA
Thelohania minispora,NA,NA,NA,NA,NA,NA
Thelohania ovata,NA,NA,NA,NA,NA,NA
Thelohania pinguis,NA,NA,NA,NA,NA,NA
Thelohania plectrocnemiae,NA,NA,NA,NA,NA,NA
Thelohania rhithrogenae,NA,NA,NA,NA,NA,NA
Thelohania similis,NA,NA,NA,NA,NA,NA
Thelohania simulii,NA,NA,NA,NA,NA,NA
Thelohania sp.,72221,Thelohania,Thelohaniidae,NA,NA,Fungi
Thelohania tipulae,NA,NA,NA,NA,NA,NA
Thelohania vanessae,NA,NA,NA,NA,NA,NA
Thelohania varians,NA,NA,NA,NA,NA,NA
Thelohania weiseri,NA,NA,NA,NA,NA,NA
Thelohania wurmi,NA,NA,NA,NA,NA,NA
Toxoglugea bacilliformis,NA,NA,NA,NA,NA,NA
Toxoglugea calliphorae,NA,NA,NA,NA,NA,NA
Toxoglugea chironomi,NA,NA,NA,NA,NA,NA
Toxoglugea chloroperlae,NA,NA,NA,NA,NA,NA
Toxoglugea fanthami,NA,NA,NA,NA,NA,NA
Toxoglugea gerridis,NA,NA,NA,NA,NA,NA
Toxoglugea mercieri,NA,NA,NA,NA,NA,NA
Toxoglugea octospora,NA,NA,NA,NA,NA,NA
Toxoglugea porterae,NA,NA,NA,NA,NA,NA
Toxoglugea tetraspora,NA,NA,NA,NA,NA,NA
Toxoglugea vibrio,NA,NA,NA,NA,NA,NA
Farinocystis  sp.,NA,NA,NA,NA,NA,NA
Helicosporidium  sp.,145474,Helicosporidium,Chlorellaceae,Chlorellales,Trebouxiophyceae,Viridiplantae
Adelina melolonthae,NA,NA,NA,NA,NA,NA
Adelina sericesthis,NA,NA,NA,NA,NA,NA
Adelina tenebrionis,NA,NA,NA,NA,NA,NA
Klossia aphodii,NA,NA,NA,NA,NA,NA
Actinocephalus sp.,352479,Actinocephalus,Eriocaulaceae,Poales,Magnoliopsida,Viridiplantae
Didymophes paradoxa,NA,NA,NA,NA,NA,NA
Didymophes sisyphi,NA,NA,NA,NA,NA,NA
Euspora fallax,NA,NA,NA,NA,NA,NA
Euspora zealandica ,NA,NA,NA,NA,NA,NA
Pseudomonocystis hopliae,NA,NA,NA,NA,NA,NA
Stictospora costelytrae,NA,NA,NA,NA,NA,NA
Stictospora kurdistana,NA,NA,NA,NA,NA,NA
Stictospora provincialis,NA,NA,NA,NA,NA,NA
Monocystis  sp.,110315,Monocystis,Monocystidae,Eugregarinorida,Conoidasida,NA
Ascogregarina culicis,247478,Ascogregarina,Lecudinidae,Eugregarinorida,Conoidasida,NA
Gregarina katherina,NA,NA,NA,NA,NA,NA
Ophryocystis oryctesi,NA,NA,NA,NA,NA,NA
Mattesia dispora,NA,NA,NA,NA,NA,NA
Mattesia grandis,NA,NA,NA,NA,NA,NA
Mattesia sp.,238095,Mattesia,Lipotrophidae,Neogregarinorida,Conoidasida,NA
Mattesia trogodermae,NA,NA,NA,NA,NA,NA
Rasajeyna nannyla,NA,NA,NA,NA,NA,NA
Adelina  sp.,203141,Adelina,Adeleidae,Eucoccidiorida,Conoidasida,NA
Adelina tribolii,NA,NA,NA,NA,NA,NA
Cometoides pechumani,NA,NA,NA,NA,NA,NA
Pyxinia  sp.,650294,Pyxinia,Actinocephalidae,Eugregarinorida,Conoidasida,NA
Gregarina garnhami,NA,NA,NA,NA,NA,NA
Malameba locustae,NA,NA,NA,NA,NA,NA
Leptomonas sp.,5683,Leptomonas,Trypanosomatidae,Trypanosomatida,Kinetoplastea,NA
Leptomonas pyraustae,NA,NA,NA,NA,NA,NA
Blastocrithidia caliroae,NA,NA,NA,NA,NA,NA
Herpetomonas chatoni,NA,NA,NA,NA,NA,NA
Herpetomonas swainei,NA,NA,NA,NA,NA,NA
Beauveria bassiana,176275,Beauveria,Cordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Thelohania californica,NA,NA,NA,NA,NA,NA
Nosema lunatum,NA,NA,NA,NA,NA,NA
Nosema chapmani,NA,NA,NA,NA,NA,NA
Entomophthora coronata,NA,NA,NA,NA,NA,NA
Thelohania inimica,NA,NA,NA,NA,NA,NA
Nosema tracheophilum,NA,NA,NA,NA,NA,NA
Gurleya sokolovi,NA,NA,NA,NA,NA,NA
Aspergillus fumigatus,746128,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Fungi
Entomophthora exitialis,76012,Conidiobolus,Ancylistaceae,Entomophthorales,Entomophthoromycetes,Fungi
Entomophthora fresenii,1573175,Neozygites,Neozygitaceae,Neozygitales,Neozygitomycetes,Fungi
Entomophthora virulenta,NA,NA,NA,NA,NA,NA
Entomophthora grylli,NA,NA,NA,NA,NA,NA
Entomophthora aphidis,NA,NA,NA,NA,NA,NA
Entomophthora thaxteriana,164418,Conidiobolus,Ancylistaceae,Entomophthorales,Entomophthoromycetes,Fungi
Entomophthora planchoniana,177370,Entomophthora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Pleistophora chapmani,NA,NA,NA,NA,NA,NA
Rickettsiella chironomi,NA,NA,NA,NA,NA,NA
Herpetomonas muscarum,5718,Herpetomonas,Trypanosomatidae,Trypanosomatida,Kinetoplastea,NA
Coelomomyces psorophorae,NA,NA,NA,NA,NA,NA
Entomophthora aquatica,NA,NA,NA,NA,NA,NA
Coelomomyces opifexi,NA,NA,NA,NA,NA,NA
Ophryocystis dendroctoni,NA,NA,NA,NA,NA,NA
Chytridiopsis typographi,2293873,Chytridiopsis,Chytridiopsidae,NA,NA,Fungi
Lankesteria mackiei,NA,NA,NA,NA,NA,NA
Gregarina hylobii,NA,NA,NA,NA,NA,NA
Babesia bigemina,5866,Babesia,Babesiidae,Piroplasmida,Aconoidasida,NA
Hirsutella tydeicola,NA,NA,NA,NA,NA,NA
Malameba scolyti,NA,NA,NA,NA,NA,NA
Octosporea collembolae,NA,NA,NA,NA,NA,NA
Nosema apicalis,NA,NA,NA,NA,NA,NA
Entomophthora tabanivora,NA,NA,NA,NA,NA,NA
Lagenidium sp. ,4802,Lagenidium,Lagenidiaceae,Lagenidiales,NA,NA
Microsporidium fimbriatum,NA,NA,NA,NA,NA,NA
Leidyana phryganidiae,NA,NA,NA,NA,NA,NA
Babesia caballi,5871,Babesia,Babesiidae,Piroplasmida,Aconoidasida,NA
Hyalinocysta expilatoria,NA,NA,NA,NA,NA,NA
Amblyospora dyxenoides,NA,NA,NA,NA,NA,NA
Parathelohania anophelis,33690,Parathelohania,Amblyosporidae,NA,NA,Fungi
Melissococcus pluton,33970,Melissococcus,Enterococcaceae,Lactobacillales,Bacilli,NA
Alternaria tenuis,5599,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Fungi
Amblyospora indicola,191592,Amblyospora,Amblyosporidae,NA,NA,Fungi
Napamichum aequifilum,NA,NA,NA,NA,NA,NA
Hirsutella longicolla var. cornuta,NA,NA,NA,NA,NA,NA
Coelomomyces irani,NA,NA,NA,NA,NA,NA
Microsporidium aedium,NA,NA,NA,NA,NA,NA
Entoderma colletosporium,NA,NA,NA,NA,NA,NA
Myrmicinosporidium durum,2820145,Myrmicinosporidium,NA,NA,NA,Fungi
Merocinta davidii,NA,NA,NA,NA,NA,NA
Duboscqia dengihilli,NA,NA,NA,NA,NA,NA
Unikaryon minutum,NA,NA,NA,NA,NA,NA
Spiroplasma citri,2133,Spiroplasma,Spiroplasmataceae,Entomoplasmatales,Mollicutes,NA
Pleistophora schubergi,NA,NA,NA,NA,NA,NA
Amblyospora polykarya,NA,NA,NA,NA,NA,NA
Microsporidium goeldichironomi,NA,NA,NA,NA,NA,NA
Entomophthora sphaerosperma,2074976,Entomophthora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Farinocystis tribolii,NA,NA,NA,NA,NA,NA
Synnematium jonesii,NA,NA,NA,NA,NA,NA
Entomophthora aulicae,NA,NA,NA,NA,NA,NA
Entomophthora lampyridarum,NA,NA,NA,NA,NA,NA
Funicularis triseriatus,NA,NA,NA,NA,NA,NA
Nosema transitella,NA,NA,NA,NA,NA,NA
Amoebidium parasiticum,4881,Amoebidium,Amoebidiaceae,Ichthyophonida,Ichthyosporea,NA
Entomophthora echinospora,NA,NA,NA,NA,NA,NA
Coelomomyces macleayae,NA,NA,NA,NA,NA,NA
Entomophthora bullata,NA,NA,NA,NA,NA,NA
Haemoproteus columbae,77522,Haemoproteus,Haemoproteidae,Haemosporida,Aconoidasida,NA
Fusarium roseum,5128,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Fungi
Fusarium episphaeria,1053090,Dialonectria,Nectriaceae,Hypocreales,Sordariomycetes,Fungi
Lymphotropha tribolii,NA,NA,NA,NA,NA,NA
Adelina cryptocerci,NA,NA,NA,NA,NA,NA
Nosema salivaria,NA,NA,NA,NA,NA,NA
Amblyospora coluzzii,NA,NA,NA,NA,NA,NA
Amblyospora kaduanae,NA,NA,NA,NA,NA,NA
Amblyospora nigeriana,NA,NA,NA,NA,NA,NA
Amblyospora trinus,NA,NA,NA,NA,NA,NA
Systenostrema alba,319743,Systenostrema,Thelohaniidae,NA,NA,Fungi
Systenostrema candida,NA,NA,NA,NA,NA,NA
Pleistophora oribatei,NA,NA,NA,NA,NA,NA
Pleistophora cephei,NA,NA,NA,NA,NA,NA
Pleistophora platynothri,NA,NA,NA,NA,NA,NA
Pleistophora dindali,NA,NA,NA,NA,NA,NA
