"","CitationCode","Reference","CreationDate","ModificationDate","ReadBy","GetIt","nvpCount"
"26",31,"Morel, Gilles. (personal communication) Department de Biologie, Universite de la Reunion, 97715 Saint Denis Messag CEDEX 9, France.","1/8/2096","7/12/2096","","",NA
"27",32,"Fouillaud, M. and Morel, G., 1994.  Characterization of cytoplasmic and nuclear polyhedrosis viruses recovered from the nest of Polistes hebraeus F. (Hymenoptera: Vespidae).  J. of Invertebr. Pathol. 64: 89-95.","1/8/2096","7/8/2096","","",NA
"28",33,"Iwano, H. and Ishihara, R., 1984.  A microsporidian, Pleistophora sp., isolated from the lawn grass cutworm, Spodoptera depravata Butler (Lepidoptera: Noctuidae). Bull. Coll. Agr. and Vet. Med., Nihon Univ. 41: 25-33.","1/8/2096","7/12/2096","","",1
"29",34,"Iwano, H. and Kurtti, T. J. 1995. Identification and isolation of dimorphic spores from Nosema furnacalis (Microspora:Nosematidae). J. Invertebr. Pathol.  65: 230-236.","1/8/2096","7/8/2096","","",1
"30",35,"Vargas-Osuna, E., Aldebis, H.K., Caballero, P., Lipa, J.J. and Santiago-Alvarez, C. 1994. A newly described Baculovirus (Subgroup B) from Ocnogyna baetica (Rambur) (Lepidoptera: Arctiidae) in Southern Spain.  J. Invertebr. Pathol. 63: 31-36.","1/8/2096","2/7/2097","","",NA
"31",37,"Sait, S.M., Begon, M., and Thompson, D.J. 1994. The influence of larval age on the response of Plodia interpunctella  to a granulosis virus.  J. Invertebr. Pathol. 63: 107-110.S.M. ","1/8/2096","7/8/2096","","",NA
"32",39,"Lefol, C., Lherminier, J., Boudon-Padieu, E., Larrue, J., Louis, C., and Caudwell, A. 1994. Propagation of Flavescence doree MLO (Mycoplasma-like Organism) in the leafhopper vector Euscelidius variegatus KBM. J. Invertebr. Pathol. 63: 285-293.","1/8/2096","7/8/2096","","",2
"33",40,"Gilliam, M., Lorenz, B.J., and Buchmann, S.L. 1994. Ascophaera apis, the chalkbrood pathogen of the honey bee, Apis mellifera, from larvae of a carpenter bee, Xylocopa californica arizonensis. J. Invertebr. Pathol. 63: 307-309.","1/8/2096","7/8/2096","","",1
"34",41,"Gupta, S.C., Leathers, T.D., El-Sayed, G.N, and Ignoffo, C.M. 1994.  Relationships among enzyme activities and virulence parameters in Beauveria bassiana infections of Galleria mellonella and Trichoplusia ni.  J. Invertebr. Pathol. 64: 13-17.","1/8/2096","7/8/2096","","",2
"35",43,"Hanula, J.L. and Andreadis, T.G., 1992.  Protozoan pathogens of the Scarabaeidae.  Pp. 79-91 In Glare, T.R. and Jackson, T.A. [eds.] Use of Pathogens in Scarab Pest Management. Intercept Ltd. Andover, England.","1/8/2096","8/24/2000","smb","",44
