"","CitationCode","Reference","CreationDate","ModificationDate","ReadBy","GetIt","nvpCount"
"509",563,"Wilson, G.G., 1972. Studies on Nosema fumiferanae a Microsporidian parasite of Choristoneura fumiferana (Clem.) (Lepidoptera: Tortricidae). Ph.D. thesis, Cornell University, Ithaca, N.Y. ","5/11/2096","7/8/2096","","",4
"510",564,"Thomson, H.M., 1960.  A list and brief description of the microsporidia infecting insects. J. Insect. Pathol. 2: 346-","5/11/2096","7/8/2096","","",3
"511",565,"Thomson, H.M., 1958. Some aspects of the epidemiology of a microsporidian parasite of the spruce budworm, Choristoneura fumiferana (Clem). Can. J. Zool. 36: 309-","5/11/2096","7/8/2096","","",NA
"512",567,"Henry, J.E., and Onsager, J.A., 1982. Experimental control of the Mormon cricket, Anabrus simplex, by Nosema locustae (Microspora: Microsporida), a protozoan parasite of grasshoppers (Ort.: Acrididae). Entomophaga 27: 197-","5/12/2096","7/8/2096","","",1
"513",568,"Luna, G.C., Henry, J.E., and Ronderos, R.A., 1981. Infeciones experimentales y naturales con protozoos patogenos en acridios de la Republica Argentina (Insecta, Orthoptera). Rev. Soc. Entomol. Argentina 40: 243-","5/12/2096","7/8/2096","","",12
"514",570,"Wilson, G.G., 1975. Occurrence of Thelohania sp. and Pleistophora sp. (Microsporida: Nosematidae) in Choristoneura fumiferana (Lepidoptera: Tortricidae). Can. J. Zool. 53: 1799-","5/14/2096","7/8/2096","","",6
"515",571,"Issi, I.V., 1971. On polymorphism of the species Pleistophora schubergi  Zwolfer, 1927, possible ways of speciation in the order of Microsporidia. Parazitologiya (Leningrad) 5: 297.","5/14/2096","7/8/2096","","",4
"516",572,"Nilova, G. N., and Strelnikova, L.V., 1974. The effect of ultraviolet irradiation on the viability of spores of Plistophora schubergi Zwolfer and Nosema arotidis Lipa et Issi.  Parazitologiya 8: 463-","5/14/2096","7/8/2096","","",1
"517",573,"Metspalu, L., 1976. On the effect of microsporidiosis on hibernating pupae of noctuids. Eesti NSV Tead. Akad. Toim. Biol. 25: 13.","5/14/2096","7/8/2096","","",7
"518",574,"Wilson, G.G., 1981. The potential of Pleistophora schubergi in microbial control of forest insects. Environ. Can. For. Serv. Inf. Rep. FPM-X-49, Ottawa, Ontario, Canada.","5/14/2096","7/8/2096","","",NA
"519",575,"Simchuk, P.A., 1978. Susceptibility of the codling moth, the pear moth and the plum fruit moth to the mocrosporidium Peistophora schubergi. Biol Nauki. 10: 51.","5/14/2096","7/8/2096","","",3
"520",576,"Gunther, S., 1956. Zut infektion des Goldafters (Euproctis chrysorrhoea L.) mit Plistophora schubergi Zwolfer (Microsporidia). Z. Angew. Zool. 43: 397-405.","5/14/2096","2/5/2097","","",2
"521",577,"Purrini, K., 1982. Light and electron microscopic studies on the microsporidian Pleistophora schubergi neustriae n. subsp. (Microsporida: Phylum Microspora) parasitizing the larvae of Malacosoma neustriae L. (Lymantriidae, Lepidoptera). Arch. Protistenk. 125: 345-","5/14/2096","7/8/2096","","",1
"522",578,"Kaya, H.K., 1977. Survival of spores of Vairimorpha (=Nosema) necatrix (Microsporida: Nosematidae) exposed to sunlight, ultraviolet radiation, and high temperature. J. Invertebr. Pathol. 30: 192-","5/14/2096","7/8/2096","","",1
"523",579,"Maddox, J.V., and Sprenkel, R.K., 1978.  Some enigmatic microsporidia of the genus Nosema. Misc. Publ. Entomol. Soc. Am. 11: 65-84","5/15/2096","4/8/2099","smb","",33
"524",580,"Maddox, J.V., 1966. Studies on a Microsporidiosis of the Armyworm, Pseudaletia unipuncta (Haworth), Ph.D. thesis, University of Illinois, Urbana.","5/15/2096","7/8/2096","","",7
"525",581,"Wilson, G.G., 1984. Pathogenicity of Nosema disstriae, Pleistophora schubergi and Vairimorpha necatrix (Microsporidia) to larvae of the forest tent caterpillar, Malacosoma disstria. Z. Parasitenkd. 70: 763-","5/15/2096","7/12/2096","","",1
"526",582,"Hamm, J.J., and Lynch, R.E., 1982. Comparative susceptibility of the granulate cutworm, fall armyworm, and corn earworm to some entomopathogens. J. Ga. Entomol. Soc. 17: 363-","5/15/2096","7/8/2096","","",1
"527",583,"Tanada, Y., 1962. Effect of a microsporidian spore suspension on the incidence of cytoplasmic polyhedrosis in the alfalfa caterpillar, Colias eurytheme Boisduval. J. Invertebr. Pathol. 4: 495-","5/15/2096","7/8/2096","","",3
"528",584,"Pilley, B. M., 1976. A new genus, Vairimorpha (Protozoa: Microsporida), for Nosema necatrix Kramer 1965: pathogenicity and life cycle in Spodoptera exempta (Lepidoptera: Noctuidae).  J. Invertebr. Pathol. 28:177-","5/15/2096","6/16/2099","smb","",1
"529",585,"Fuxa, J.R., 1981. Susceptibility of lepidopterous pests to two types of mortality caused by the microsporidium Vairimorpha necatrix. J. Econ. Entomol. 74: 99-","5/15/2096","7/8/2096","","",1
"530",586,"Garnham, P.C.C., 1958. Some natural protozoal parasites of mosquitoes with special reference to Crithidia.  Transactions of the First International Conference on Insect Pathology and Biological Control, Prague, Czechoslovakia, pp.  287-294.","5/15/2096","1/23/2099","","",10
"531",587,"Wang, B.T., 1982. The pathobiology of the mosquito parasite: Vavraia culicis (Wiser), Ph.D. thesis, University of California, Los Angeles.","5/15/2096","7/8/2096","","",4
"532",588,"Chapman, H. C., Clark, T. B., Petersen, J. J. and Woodward, D. B., 1969.  A two year survey of of pathogens and parasites of Culicidae, Chaoboridae, and Ceratopogonidae in Louisiana. Proc. N.J. Mosq. Exterm. Assoc. 56: 203-212.","5/15/2096","2/22/2099","","",6
"533",589,"Anon., 1980.  Data sheet on the biological control agent Vavraia (Pleistophora) culicis (Weiser 1946), Mimeographed document, World Health Organization, VBC/80.759, Rome.","5/15/2096","7/8/2096","","",1
"534",590,"Chapman, H. C., 1974.  Biological control of mosquito larvae.  Annual Review of Entomology 19: 33-59.","5/15/2096","2/21/2099","","",9
"535",592,"Garnham, P.C.C., 1956. Microsporidia in laboratory colonies of Anopheles. Bull. WHO. 15: 845-847.","5/15/2096","2/21/2099","","",2
"536",593,"Weiser, J. and Coluzzi, M., 1964.  Plistophora culisetae n. sp.,  a new microsporidian (Protozoa, Cnidosporida) in the mosquito Culiseta longiareolata (Maquart 1838). Riv. Malariol. 43: 51.","5/15/2096","7/8/2096","","",1
"537",594,"Weiser, J., 1978. Production o fthe microsporidian Plistophora culicis Weiser in substitute host. Folia Parasitol. 25: 365-","5/15/2096","7/8/2096","","",1
"538",595,"Sprenkel, R.K., 1973. Studies on Nosema plodiae (Sporozoa, Microsporida) and Mattesia dispora (Sporozoa, Gregarina) pathogens of the Indian Meal moth, Plodia interpunctella (Lepidoptera, Pyralidae) in Illinois. Ph.D. thesis, University of Illinois, Urbana.","5/17/2096","7/8/2096","","",1
"539",596,"Ignoffo, C.M., and Hink, W.F., 1971.  Propagation of arthropod pathogens in living systems.  In, Burges, H.D. and Hussey, N.W. (eds.),  Microbial Control of Insects and Mites.  New York: Academic Press, 1971.","5/17/2096","9/26/2000","","",1
"540",597,"Hostounsky, Z., 1984. Production of microsporidia pathogenic to the Colorado potato beetle (Leptinotarsa decemlineata) in alternate hosts. J. Invertebr. Pathol.  44: 166-171","5/17/2096","4/2/2099","","",5
"541",598,"Pilley, B. M., Canning, E. U. and Hammmond, J. C., 1978.  The use of a microinjection procedure for large scale production of the microsporidian Nosema eurythremae in Pieris brassicae.  J. Invertebr. Pathol. 32: 355-","5/17/2096","7/2/2097","","",1
"542",600,"Nilova, G.N., 1967. Vlijanie mikrospridioza na nekotorye fiziologiceskie funkeii ozimoj sovki (Agrotis segetum Schiff.). Izv. Akda. Nauk Tadzzh. SSR Biol. Otd. 3: 66.","5/17/2096","7/8/2096","","",1
"543",601,"Weiser, J., Prasertphon, S., 1982. Microsporidia infecting Simulium damnosum in Nigeria. Z. ang. Ent. 93: 93-101.","5/19/2096","7/8/2096","","",6
"544",602,"Larsson, R., 1987. Ultrastructural investigation of two new microsporidia with rod-shaped spores with description of Cylindrospora fasciculata sp. nov. and Resiomeria odonatae gen. et sp. nov. (Microspora, Thelohaniidae).  Protistologica 22: 379:398.","5/19/2096","7/8/2096","","",2
"545",603,"Weiser, J., and Purrini, K. 1980. Seven new microsporidian parasites of springtails (Collembola) in the Federal Republic of Germany.  Z. Parasitenkd. 62: 75-84. ","5/19/2096","7/8/2096","","",8
"546",604,"Purrini, K., 1981. Nosema hylobii n. sp. (Nosematidae, Microsporidia), a new microsporidian parasite of Hylobius abietis L. (Curculionidae, Coleoptera). Z. ang. Entomol. 92: 1-8.","5/19/2096","7/8/2096","","",2
"547",605,"Weiser, J., 1968. Plistophora scolyti sp. n. (Protozoa, Microsporidia), a new parasite of Scolytus scolytus F. (Col., Scolytidae). Folia Parasitologica (Prague). 15: 11-14.","5/19/2096","7/8/2096","","",1
"548",606,"Toguebaye, B.S., and Bouix, G., 1983. Nosema manierae sp. n., Microsporidie parasite de Chilo zacconius Blezenski 1970 (Lepidoptera: Pyralidae), hote naturel, et Heliothis armigera (Hubner 1808) (Lepidoptra, Noctuidae), hote experimental: Cycle evolutif et ultrastructure. Z. Parsitenkd. 69: 191-205.","5/26/2096","7/8/2096","","",2
"549",607,"Purrini, K., 1983.  Uber zwei Protozoen-Arten, Adelina tribolii Bhatia comb. nov. (Coccidia) und Nosema ptinidorum n. sp. (Microsporidia) als Krankheitserreger der vorratsschadlichen Kafer Ptinus pusillus Strm. und P. brunneus Dft. (Col. Ptinidae) Z. ang. Entomol. 95: 477-482.","5/26/2096","7/8/2096","","",4
"550",608,"Thomson, H.M., 1959. A microsporidian parasite of the forest tent caterpillar, Malacosoma disstria Hbn.  Can. J. Zool. 37: 217-221.","5/26/2096","7/8/2096","","",1
"551",609,"Odindo, M.O., and Jura, W.G.Z.O., 1992.  Ultrastructure fo Nosema marucae sp. n. (Microspora, Nosematidae), a pathogen of Maruca testualis (Lepidoptera, Pyralidae).  Current Microbiology 25: 319-325.","5/26/2096","7/8/2096","","",1
"552",610,"Purrini, K., and Halperin, J., 1982.  Nosema calcarati n. sp. (Microsporidia), a new parasite of Pityogenes calcaratus Eichhoff (Col. Scolytidae). Z. ang. Entomol. 94: 87-92.","5/26/2096","7/8/2096","","",1
"553",611,"Weiser, J., 1961. A new microsporidian from the bark beetle Pityokteines curvidens Germar (Coleoptera, Scolytidae) in Czechoslovakia. J. Insect. Pathol. 3: 324-329.","5/26/2096","6/16/2099","smb","",1
"554",612,"Lange, C.E., 1987. A new species of Perezia (Microsprida: Perezidae) from the Argentine grasshopper Dichroplus elongatus (Orthoptera: Acrididae). J. Protozool.  34: 34-39.","5/26/2096","7/8/2096","","",1
"555",613,"Dissanaike, A.S., 1955. A new schizogregarine Triboliocystis garnhami n. g., n. sp., and a new microsporidian Nosema buckleyi n. sp., from the fat body of the flour beetle Tribolium castaneum. J. Protozool. 2: 150-156. ","5/26/2096","7/8/2096","","",2
"556",614,"Kudo, R., 1923. Microsporidian parasites of ephemerid nymphs. J. Parasitol. 10: 22-24.","5/26/2096","7/8/2096","","",2
"557",615,"Kalavati, C., and Narasimhamurti, C.C., 1976. A microsporidian parasite, Duboscqia coptotermi sp. n. from the gut of Coptotermes heimi (Wasm.). J. Parasitol. 62: 323-324.","5/26/2096","3/3/2099","","",1
"558",616,"Hazard, E. I., and Federici, B. A., 1985. Ultrastructure and description of a new species of Telomyxa (Microspora: Telomyxidae) from the semiaquatic beetle, Ora texana Champ. (Coleoptera: Helodidae). J. Protozool. 32: 189-194.","5/26/2096","6/24/2099","","",1
"559",617,"Jouvenaz, D.P., and Ellis, E.A., 1986. Vairimorpha invictae n. sp. (Microspora: Microsporidia), a parasite of the red imported fire ant. Solenopsis invicta Buren (Hymenoptera: Formicidae).  J. Protozool. 33: 457-461.","5/27/2096","7/8/2096","","",1
"560",618,"Xie, W. D. and Canning, E. U., 1986. Pyrotheca hydropsycheae n. sp., a microsporidian parasite of caddis fly larvae, Hydropsyche siltalai Dohler, 1963 (Trichoptera, Hydropsychidae).  J. Protozool. 33: 462-467.","5/27/2096","7/2/2097","","",1
"561",619,"Brooks, W. M., Hazard, E. I. and Becnel, J., 1985. Two new species of Nosema (Microsporida: Nosematidae) from the Mexican bean beetle Epilachna varivestis (coleoptera: Coccinellidae). J. Protozool. 32: 525-535.","5/27/2096","7/17/2097","","",10
"562",620,"Codreanu-Balcescu, D., and Codreanu, R., 1976.  Donnees ultrastructurales sur une Microsporidie parasite intestinale des Ephemeres du genre Baetis de Roumaine.  J. Protozool. 23: 7A-8A.","5/27/2096","7/8/2096","","",1
"563",621,"Purrini, K., and Weiser, J., 1981. Eight new microsporidian parasites of moss-mites (Oribatei, Acarina) in forest soils.  Z. ang. Ent. 91: 217-224.","5/31/2096","7/8/2096","","",13
"564",622,"Larsson, J.I.R., 1992. The light and electron microscopic cytology of Janacekia adipophila n. sp. (Microspora, Tuzetiidae), a microsporidian parasite of Ptychoptera paludosa (diptera, Ptychopteridae).  J. Protozool. 39: 432-440.","5/31/2096","7/8/2096","","",1
"565",623,"Larsson, R., 1982. An ultrastructural study of Amblyspora undulata n.sp., a microsporidian parasite of the caddisfly Cyrnus trimaculatus (Trichoptera, Polycenthropidae).  Protistologica 17: 511-523.","5/31/2096","6/22/2099","","",1
"566",624,"Toguebaye, B.S., and Marchand, B., 1984. Etude ultrastructurale des stades de developpement et de la mitose sporogonique de Nosema henosepilachnae n. sp. (Microsporidia, Nosematidae) parasite de Henosepilachna elaterii (Rossi, 1974) (Coleoptera, Coccinellidae). Protistologica 20: 165-179.","5/31/2096","6/18/2097","","",1
"567",625,"Codreanu, R., and Codreanu-Balcescu, D., 1982. Caracteristiques ultrastructurales dune microsporidies nouvelle du genre Tuzetia parasite chez Ecdyonurus (Ephemeroptera).  J. Protozool. 29: 300.","5/31/2096","7/8/2096","","",1
"568",626,"Larsson, R., 1983. A revisionary study of the taxon Tuzetia Maurand, Fize, Fenwick and Michel, 1971, and related forms (Microspora, Tuzetiidae). Protistologica 19: 323-355.","5/31/2096","7/8/2096","","",7
"569",627,"Pounds, J. G., 1977. Safety and potential hazards of the entomophatogen Mattesia trogodermae to non-target species. Ph.D. thesis, University of Wisconsin, Madison.","6/12/2096","2/21/2099","","",NA
"570",628,"Canning, E. U., 1964.  Observations on the life history of Mattesia trogodermae sp. n., a schizogregarine parasite of the fat body of the Khapra beetle, Trogoderma granarium Everts.  J. Insect Pathol.  6: 305-317. ","6/12/2096","7/20/2099","","",2
"571",629,"McLaughlin, R.E., 1969.  Glugea gasti sp. n., a microsporidian pathogen of the boll weevil Anthonomus grandis.  J. Protozool. 16: 84. ","6/12/2096","7/8/2096","","",1
"572",630,"Andreadis, T. G., 1982.  Current status of imported and native parasites of the European corn borer in Connecticut.  J. Econ. Entomol.  75: 626.","6/12/2096","7/17/2097","","",NA
"573",631,"Jaques, R.P., 1977.  Field efficacy of viruses infectious to the cabbage looper and imported cabbageworm on late cabbage. J. Econ. Entomol.  70: 111.","6/12/2096","7/8/2096","","",NA
"574",632,"Tanabe, A.M., 1971.  The pathology of two microsporidia in the armyworm Pseudaletia unipuncta (Haworth) (Lepidoptera, Noctuidae). Ph.D. thesis, University of California, Berkeley.","6/12/2096","7/8/2096","","",NA
"575",633,"Fuxa, J.R., and Brooks, W.M., 1979.  Effects of Vairimorpha necatrix in sprays and corn meal on Heliothis species in tobacco, soybeans, and sorghum. Journal of Economic Entomology 72: 462-467.","6/12/2096","6/16/2099","smb","",4
"576",634,"Cossentine, J. E., and Lewis, L. C., 1986. Impact of Vairimorpha necatrix and Vairimorpha sp. (Microspora: Microsporida) on Bonnetia comta (Diptera: Tachinidae) within Agrotis ipsilon (Lepidoptera: Noctuidae) hosts.  J. Invertebr. Pathol.  47: 303.","6/12/2096","7/2/2097","","",NA
"577",635,"Weiser, J. 1980. Acute Vavraia culicis infection in a substitute host. J. Protozool. 27: 73A.","6/12/2096","7/8/2096","","",NA
"578",638,"Codreanu, R., and Codreanu-Balcescu, D., 1976. Sur lultrastructure dune microsporidie nouvelle parasite du tissu adipeux des chenilles d Antheraea pernyi Guer.  J. Protozool. 23: 7A.","6/14/2096","7/8/2096","","",2
"579",640,"Weiser, J., and Zizka, Z., 1968. Electron microscope studies of Rickettsiella chironomi in the midge Camptochironomus tentans.  J. Invertebr. Pathol. 1968: 222-230.","6/16/2096","7/8/2096","","",1
"580",641,"Hamilton, E., 1968.  Pseudomonas aeruginosa in species of Diabrotica.  J. Invertebr. Pathol.  12: 188-191.","6/16/2096","7/8/2096","","",3
"581",642,"Bailey, L., 1968.  The measurements and interrelationships of infections with Nosema apis and Malpighamoeba mellificae of honey-bee populations.  J. Invertebr. Pathol.  12: 175-179.","6/16/2096","7/1/2097","","",1
"582",643,"Clark, T. B., Kellen, W. R., Fukuda, T., Lindegren, J., 1968.  Field and laboratory studies on the pathogenicity of the fungus Beauveria bassiana to three genera of mosquitoes.  J. Invertebr. Pathol. 11: 1-7. ","6/18/2096","7/15/2097","","",6
"583",644,"Roffey, J., 1968.  The occurrence of the fungus Entomophthora grylli Fresenius on locusts and grasshoppers in Thailand.  J. Invertebr. Pathol. 11: 237-241.","6/18/2096","7/8/2096","","",10
"584",645,"Dunkel, F.V., and Bousch, G. M., 1968.  Biology of the gregarine Pyxinia frenzeli in the black carpet beetle, Attagenus megatoma.  J. Invertebr. Pathol.  11: 281-288.","6/18/2096","7/8/2096","","",1
"585",646,"Lowe, R.E., Rumbaugh, R.G., and Patterson, R.S., 1968.  Entomophthora coronata as a pathogen of mosquitoes. J. Invertebr. Pathol. 11: 506-507.","6/21/2096","7/8/2096","","",1
"586",647,"Bucher, G.E., and Bracken, G.K., 1966. Fungus disease of adult parasitic insects caused by Torula nigra (Marpmann).  J. Invertebr. Pathol.  8: 193-204.","6/21/2096","7/8/2096","","",NA
"587",648,"Lipa, J.J., 1966. Nosema leptocoridis sp. n., Microsporidian parasite of Leptocoris trivittatus (Say) (Hemiptera).  J. Invertebr. Pathol.  8: 250-251.","6/21/2096","7/8/2096","","",2
"588",649,"Mathur, S.B., Srivastava, R.P., Subba Rao, B.R., 1966. Beauveria densa, pathogenic for the larvae of Chilo zonellus.  J. Invertebr. Pathol.  8: 274-276.","6/21/2096","7/8/2096","","",1
"589",650,"McFadden, M.W., 1966. The bacterium Serratia marcenscens as a pathogen of the Mexican fruit fly, Anastrepha ludens. J. Invertebr. Pathol. 8: 542-543.","6/26/2096","7/8/2096","","",1
"590",651,"Chapman, H. C., Woodard, D. B., Kellen, W. R., and Clark, T. B., 1966. Host-parasite relationships of Thelohania associated with mosquitoes in Lousiana (Nosematidae: Microsporidia). J. Invertebr. Pathol. 8: 452-456.","6/26/2096","7/1/2097","","",8
"591",652,"Kalucy, E.C., and Daniel, A., 1972.  The reaction of Anopheles annulipes larvae to infection by Aeromonas punctata.  J. Invertebr. Pathol.  19: 189-197. ","6/26/2096","7/8/2096","","",1
"592",653,"Kenneth, R., Wallis, G., Gerson, U., Plaut, H.N., 1972. Observations and experiments on Triplosporium floridanum (Entomophthorales) attacking spider mites in Israel.  19: 366-369.  ","6/26/2096","7/8/2096","","",1
"593",654,"Hall, R.A., 1976. A bioassay of the pathogenicity of Verticillium lecanii conidiospores on the aphid, Macrosiphoniella sanborni. J. Invertebr. Pathol. 27: 41-48.","6/26/2096","7/8/2096","","",1
"594",655,"Podgwaite, J.D., and Cosenza, B.J., 1976. A strain of Serratia marcescens pathogenic for larvae of LYmantria dispar: Characterization. J. Invertebr. Pathol.  27: 185-190.","6/26/2096","7/8/2096","","",1
"595",656,"Lushbaugh, W.B., Rowton, E.D., McGhee, R.B., 1976. Redescription of Coccidiascus legeri Chatton, 1913 (Nematosporaceae: Hemiascomycetidae), an intracellular parasitic yeast like fungus from the intestinal epithelium of Drosophila melanogaster.  J. Invertebr. Pathol. 28: 93-107.","6/26/2096","7/8/2096","","",1
"596",657,"Hacker, C.S., and Kilama, W.L., 1974.  The relationship between Plasmodium gallinaceum density and the fecundity of Aedes aegypti.  J. Invertebr. Pathol. 23: 101-105.","6/26/2096","7/8/2096","","",1
"597",658,"Kellen, W. R. and Lindegren, J. E., 1974.  Life cycle of Helicosporidium parasiticum in the navel orangeworm, Paramyelois transitella.  J. Invertebr. Pathol. 23: 202-208.","6/26/2096","7/15/2097","","",1
"598",659,"Youssef, N.N., 1974.  Biology and pathogenicity of the mocrosporidian Perezia hyperae sp. n., a pathogen of the Alfalfa weevil, Hypera postica. J. Invertebr. Pathol.  24: 282-292.","6/26/2096","7/8/2096","","",1
"599",660,"Milner, R. J., and Beaton, C.D., 1977.  Pleistophora oncoperae sp. n. (Protozoa: Microsporida) from Oncopera albogutata (Lepidoptera: Hepialidae) in Australia. J. Invertebr. Pathol.  29: 133-140.","6/29/2096","4/9/2099","","",2
"600",661,"Liu, H.J., and McEwen, F.L., 1977.  Nosema blissi sp. n. ( Microsporida: Nosematidae), a pathogen of the chinch bug, Blissus leucopterus hirtus (Hemiptera: Lygaeidae). J. Invertebr. Pathol. 29: 141-146.","6/29/2096","7/8/2096","","",1
"601",662,"Miczulski, B., Machowicz-Stefaniak, Z., 1977. Fungi associated with the cereal beetle, Oulema gallaeciana (Coleoptera: Chrysomelidae).  J. Invertebr. Pathol.  29: 386-387.","6/29/2096","7/8/2096","","",17
"602",664,"Regniere, J., and Brooks, W.M., 1978.  Entomogenous microorganism associated with the japanese beetle Popillia japonica, in eastern North Carolina.  J. Invertebr. Pathol.  32: 226-228.","6/30/2096","6/16/2099","smb; Pathogen, Nosema glaseri, in assoc. record (3002)  that cites this ref. is not identified in this ref, and the pathogen mentioned likely is not Nosema as the authors say its a cephaline gregarine.","",NA
"603",665,"Vandenberg, J.S., and Soper, R.S., 1979.  A bioassay technique for Entomophthora sphaerosperma on the spruce budworm, Choristoneura fumiferana.  J. Invertebr. Pathol.  33: 148-154.","6/30/2096","7/8/2096","","",1
"604",666,"Hajek, A. E., Butler, L., and Wheeler, M. M., 1995. Laboratory bioassay testing the host range of the gypsy moth fungal pathogen Entomophaga maimaiga.  Biological Control 5(4): 530-544.","7/3/2096","9/19/2099","","",30
"605",667,"Ward, V.K., and Kalmakoff, J. 1987. Physical mapping of the DNA genome of insect iridescent virus type 9 from Wiseana  spp. larvae. Virology 160: 507-510.","7/14/2096","7/20/2096","","",NA
"606",668,"Kaaya, G.P., and Munyinyi, D.M. 1995. Biocontrol potential of the entomogenous fungi Beauveria bassiana and Metarhizium anisopliae for tsetse flies (Glossina spp.) at developmental sites.  J. Invert. Pathol.  66:237-241.","7/14/2096","7/14/2096","","",2
"607",669,"Arshad, H.H., and Sulaiman, I. 1995. Infection of Aedes albopictus (Diptera: Culicidae) and Ae. aegypti with Lambornella stegomyiae (Ciliophora: Tetrahymenidae).  J. Invert. Pathol. 66:303-306.","7/15/2096","7/15/2096","","",2
"608",670,"Kinard, G.R., Barnett, O.W., and Carner, G.R. 1995. Characterization of an iridescent virus isolated from the velvetbean caterpillar, Anticarsia gemmatalis.  J. Invert. Pathol.  66:258-263.","7/16/2096","7/16/2096","","",NA
"609",671,"Tanada, Y., and Kaya, H. K. 1993. Insect Pathology. Academic Press, San Diego.  666 pp.","7/17/2096","4/20/2099","","",38
"610",672,"McMillan, N.A.J., and Kalmakoff, J.  1994. RNA transcript mapping of the Wiseana iridescent virus genome. Virus Research 32: 343 - 352.","7/20/2096","7/20/2096","","",NA
"611",673,"Ball, B. V., and Bailey, L. 1991. Viruses of Honey bees.  in Adams, J. R., Bonami, J. R. (eds.) Atlas of invertebrate viruses. CRC Press. Boston.  ","7/28/2096","7/1/2097","","",NA
"612",674,"Darwish, A. and Canning, E. U., 1991. A light and electron microscopic study of Amblyospora aegypti n.sp. infecting Culex pipiens in Egypt.  Europ. J. Protistol. 26: 236-244.","7/29/2096","7/2/2097","","",1
"613",675,"Khodzhaeva, L.F., 1988.  Mikrosporidii krovosusushich dvukrylych semeijsti Simuliidae, Culicidae Uzbekistana (vidovoij sostav epizootologija, ekologija).  Avtoref. dis. kand. biol. nauk.  Tashkent.  21 s.","7/29/2096","6/25/2099","","",21
"614",676,"Larsson, R., 1983.  Thelohania capillata n. sp.  (Microspora, Thelohaniidae) An ultrastructural study with remarks on the taxonomy of the genus Thelohania Henneguy, 1892.","7/29/2096","7/29/2096","","",1
"615",677,"Kilotchitskii, P.Y., 1992. Microsporidia of the bloodsucking mosquito Aedes (O.) cataphylla in Ukraine.  Parazitologiya 26: 252-256.","7/29/2096","7/29/2096","","",1
"616",678,"Kilatchitsky, P. Ya., 1992.  Microsporida of the blood-sucking mosquito Aedes sticticus.  Vestn. zool. 5: 3-8.","7/29/2096","7/29/2096","","",1
"617",679,"Bykova, H.I., and Issi, I.V., 1991. [Microsporidia - horsefly parasites.]  Karelia, Petrozavodsk 1991: 1-104.  (In Russian)","7/29/2096","7/12/2099","","",7
"618",680,"Kettle, D.S., and Piper, R.G., 1988. Light and electron microscope studies on three new species of microsporidia from saltmarsh mosquitoes in Australia.  Europ. J. Protistol. 23: 229-241.","7/29/2096","7/29/2096","","",3
"619",681,"Weiser, J. and Zizka, Z., 1991.  Development of Amblyospora punctor sp. n. (Microspora: Amblyosporidae) in the larval mosquito Aedes punctor (Diptera: Culicidae).  Arch. Protistenkd.  140: 191-199.","7/29/2096","7/29/2096","","",1
"620",682,"Diarra, K., and Toguebaye, B.S., 1992.  Study on Amblyospora tritaeniorhynchi n. sp. (Microsporida, Amblyosporidae) parasites of Culex tritaeniorhynchus Giles, 1901 (Diptera, Culicidae) with reference to sexuality. J. Afr. Zool. 106: 471-478.","7/29/2096","7/29/2096","","",1
"621",683,"Lukes, J. and Vavra, J., 1990. Life cycle of Amblyospora weiseri n. sp. (Microsporidia) in aedes cantans (Diptera, Culicidae).  Europ. J. Protistol.  25: 200-208.","7/29/2096","7/29/2096","","",NA
"622",684,"Bykova, Kh. I., Krylova, S.V., Sokolova, Yu, Ya, and Issi, I.V., 1989. Ameson hybomitrae sp. nov. (Microsporidia, Pereziidae) from Tabanidae in Karelyia. Parazitologiya 23: 35-39.","7/29/2096","7/29/2096","","",2
"623",685,"Issi, I.V., and Radicheva, D.F., 1979. [Microsporidia of harmful beetles in cultures of Crucifera in the Leningrad area. ] Bulletin of the All-Russian Scientific Research Institute for Plant Protection, No. 46: 19-23. [In Russian]","7/29/2096","6/22/2099","","",1
"624",686,"Issi, I.V., Krylova, S.V., and Nicolaeva, V.M., 1993.  The ultrastructure of the microsporidium Nosema meligethi and establishment of the new genus Ancaliia.  Parazitologiya 27: 127-133.","7/29/2096","7/29/2096","","",1
"625",687,"Voronin, V.N., 1975.  Two new species of microsporidians (Protozoa, Microspora) from the mosquitoes of the family Chironomidae.  Parazitologiya 9: 373-376.","7/29/2096","7/29/2096","","",3
"626",688,"Issi, I.V., Radicheva, D.E., and Dolzhenko, V.I., 1983. Microsporidia of flies of the genus Delia (Diptera, Muscidae), harmful to farm crops. Bull. VIZR Leningrad 55: 3-9.","7/29/2096","8/6/2096","","",4
"627",689,"Khozhaeva, L.F., and Issi, I.V., 1989. A new microsporidian genus, Cristulospora gen. nov. (Amblyosporidae), with three new species from blood-sucking mosquitoes from Uzbekistan.  Parazitologiya 23: 140-145.","7/29/2096","7/29/2096","","",3
"628",690,"Stammer, H.J., 1956. Die parsiten der Bibioniden. Proc. XIV Int. Congr. Zool.: 349-358.","7/29/2096","7/29/2096","","",4
"629",691,"Hall, D.W. 1985. Pathobiology of invertebrate icosahedral cytoplasmic deoxyriboviruses (Iridoviridae).  in Viral Insecticides for Biological Control.  K. Maramorsch and K. E. Sherman, eds.  Academic Press, Orlando.","8/1/2096","8/1/2096","","",NA
