"ERNnem","refCode","Reference","HostSpecies","PathogenSpecies","HostTaxID","HostGenus","HostFamily","HostOrder","HostClass","PathTaxID","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom"
68,1285,"Wouts, W. M., 1980.  Biology, life cycle and re-description of Neoaplectana bibionis Bovien, 1937 (Nematoda: Steinernematidae).  J. Nematol. 12: 62-72.","Graphognathus leucoloma","Steinernema feltiae",299136,"Naupactus","Curculionidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
69,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.","Otiorhynchus sulcatus","Steinernema feltiae",122849,"Otiorhynchus","Curculionidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
70,1254,"Vainio, A. and Hokkanen, H.M.T., 1993.  The potential of entomopahtogenic fungi and nematodes against Otiorhynchus ovatus L. and O. dubius Strom. (Col: Curculionidae) in the field.  Journal of Applied Entomology 115:379-387.","Otiorhynchus ovatus","Steinernema feltiae",202098,"Otiorhynchus","Curculionidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
71,1254,"Vainio, A. and Hokkanen, H.M.T., 1993.  The potential of entomopahtogenic fungi and nematodes against Otiorhynchus ovatus L. and O. dubius Strom. (Col: Curculionidae) in the field.  Journal of Applied Entomology 115:379-387.","Otiorhynchus dubius","Steinernema feltiae",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
72,1255,"Pollitt, S., Peters, A. and Ehlers, R.-U., 1994.  Control potential of a naturally occurring Steinernema feltiae population.  IOBC/WPRS Bulletin 17: 144-147.","Phyllobius urticae","Steinernema feltiae",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
73,1239,"Poinar, G. O., Jr., 1979. Nematodes for Biological Control of Insects. CRC Press, Boca Raton, FL.","Bothynoderis punctiventris","Steinernema feltiae",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
74,1287,"Travassos, L., 1932.  Una specie del genere Neoaplectana Steiner (Nematoda-Oxyuridae) parasita del Conorrhynchus (Cleonus) mendicus Gyll. (Coleoptera-Curculionidae). Boll. Labor. Zool. Agraria Portici 26: 115-118. (in Spanish)","Temnorrrhinus mendicus","Steinernema feltiae",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
12,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.","Hylobius abietis","Steinernema feltiae",201999,"Hylobius","Curculionidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
75,1235,"Bovien, P., 1937. Some types of association between nematodes and insects. Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening 101:1-114","Bibio hortulana","Steinernema feltiae",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
76,1235,"Bovien, P., 1937. Some types of association between nematodes and insects. Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening 101:1-114","Bibio ferruginatus","Steinernema feltiae",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
77,1304,"Stammer, H. J., 1953.  Die parasiten der Bibioniden. Proc. XIV Int. Congr. Zool. Copenhagen.  pp. 349-358.","Bibio fulviventris","Steinernema feltiae",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
78,1304,"Stammer, H. J., 1953.  Die parasiten der Bibioniden. Proc. XIV Int. Congr. Zool. Copenhagen.  pp. 349-358.","Bibio laniger","Steinernema feltiae",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
79,1304,"Stammer, H. J., 1953.  Die parasiten der Bibioniden. Proc. XIV Int. Congr. Zool. Copenhagen.  pp. 349-358.","Bibio varipes","Steinernema feltiae",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
80,1238,"Poinar, G. O., Jr., 1990. Biology and taxonomy of Steinernematidae and Heterorhabditidae, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. & Kaya, H. K., eds) CRC Press, Boca Raton, FL, pp. 23-61","Helicoverpa armigera","Steinernema feltiae",29058,"Helicoverpa","Noctuidae","Lepidoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
81,1256,"Hoy, J. M., 1954.  The biology and host range of Neoaplectana leucaniae, a new species of insect-parasite nematode.  Parasitology 44: 392-399.","Crambus simplex","Steinernema feltiae",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
231,1256,"Hoy, J. M., 1954.  The biology and host range of Neoaplectana leucaniae, a new species of insect-parasite nematode.  Parasitology 44: 392-399.","Leucania acontistis","Steinernema feltiae",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
82,1257,"Wright, P. J. and Jackson, T. A., 1988.  Low temperature activity and infectivity of a parasitic nematode against porina and grass grub larvae, in  Proceedings of the Forty-first New Zealand Weed and Pest Control Conference. pp. 138-140.","Agrotis ipsilon","Steinernema feltiae",56364,"Agrotis","Noctuidae","Lepidoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
83,1258,"Turco, C. P., Thames, W. H., Jr and Hopkins, S. H., 1971.  On the taxonomic status and comparative morphology of species of the genus Neoaplectana Steiner (Neoaplectanidae: Nematoda).  Proceedings of the Helminthological Society of Washington 38: 68-79.","Agrotis segetum","Steinernema feltiae",47767,"Agrotis","Noctuidae","Lepidoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
84,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.","Agrotinae sp.","Steinernema feltiae",7100,NA,"Noctuidae","Lepidoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
85,1238,"Poinar, G. O., Jr., 1990. Biology and taxonomy of Steinernematidae and Heterorhabditidae, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. & Kaya, H. K., eds) CRC Press, Boca Raton, FL, pp. 23-61","Migdolus fryanus","Steinernema glaseri",1540938,"Migdolus","Cerambycidae","Coleoptera","Insecta",37863,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
86,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.","Popillia japonica","Steinernema glaseri",7064,"Popillia","Scarabaeidae","Coleoptera","Insecta",37863,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
87,1240,"Poinar, G. O., Jr., 1986. Recognition of Neoaplectana species.  Proceedings of the Helminthological Society of Washington 53: 121-129.","Strigoderma arboricola","Steinernema glaseri",NA,NA,NA,NA,NA,37863,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
88,1237,"Poinar, G. O., Jr., 1992. Nematodes associated with Scarabaeidae, in  Use of Pathogens in Scarab Pest Management (Jackson, T.A. & Glare, T.R., eds.) Intercept, Andover. pp 93-109","Anomala flavipennis","Steinernema glaseri",NA,NA,NA,NA,NA,37863,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
232,1259,"Steiner, G., 1923.  Aplectana draussei n. sp., eine in der Blattwespe Lyda sp. parasitierende Nematodenform.  Aentralblatt fr Bakteriologie, Parasitenkunde infectionskrankheiten und Hygiene, Abteilung ll 59: 14-18.","Cephalcia abietis","Steinernema kraussei",860922,"Cephalcia","Pamphiliidae","Hymenoptera","Insecta",172742,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
89,1260,"Eichhorn, O., 1988.  Untersuchungen ber die Fichtengespinsblattwespen Cephalcia spp. PANZ (Hymenoptera, Panphiliidae). II. Die Larven- und Nymphenparasiten.  Journal of Applied Entomology 105: 105-140.","Cephalcia abietis","Steinernema kraussei",860922,"Cephalcia","Pamphiliidae","Hymenoptera","Insecta",172742,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
90,1262,"Mrcek, A., 1986.  Nematodes and other factors controlling the sawfly, Cephaleia abietis (Pamphilidae: Hymenoptera), in Czechoslovakia,  Forest Ecology and Management 15: 75-79.","Cephalcia abietis","Steinernema kraussei",860922,"Cephalcia","Pamphiliidae","Hymenoptera","Insecta",172742,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
91,1261,"Fischer, P. and Fuhrer, E., 1990.  Effect of soil acidity on the entomophilic nematode Steinernema kraussei Steiner.  Biology and Fertility of Soil 9: 174-177.","Cephalcia abietis","Steinernema kraussei",860922,"Cephalcia","Pamphiliidae","Hymenoptera","Insecta",172742,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
92,1260,"Eichhorn, O., 1988.  Untersuchungen ber die Fichtengespinsblattwespen Cephalcia spp. PANZ (Hymenoptera, Panphiliidae). II. Die Larven- und Nymphenparasiten.  Journal of Applied Entomology 105: 105-140.","Cephalcia falleni","Steinernema kraussei",NA,NA,NA,NA,NA,172742,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
93,1263,"Mamiya, Y., 1988.  Steinernema kushidai n. sp. (Nematoda: Steinernematidae) associated with scarabaeid beetle larvae from Shizuoka, Japan.  Applied Entomology and Zoology 23: 313-320.","Anomala cuprea","Steinernema kushidai",121601,"Anomala","Scarabaeidae","Coleoptera","Insecta",107218,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
13,1264,"Nguyen, K. B. and Smart, G. C., Jr., 1992.  Steinernema neocurtillis n. sp. (Rhabditida: Steinernematidae) and key to species of the genus Steinernema.  Journal of Nematology 24: 463-477.","Neocurtilla hexadactyla","Steinernema neocurtillis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,1267,"Doucet, M. M. A., 1986.  A new species of Neoaplectana Steiner 1929 (Nematoda: Steinernematidae) from Cordoba, Argentina.  Revue de Nematologie 9: 317-323.","Heliothis sp.","Steinernema rarum",7101,"Heliothis","Noctuidae","Lepidoptera","Insecta",172744,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
233,1268,"Raulston, J. R., Pair, S. D., Loera, J. and Cabanillas, H. E., 1992.  Prepupal and pupal parasitism of Helicoverpa zea and Spodptera frugiperda (Lepidoptera: Noctuidae) by Steinernema sp. in cornfields in the lower Rio Grande Valley.  Journal of Economic Entomology 85: 1666-1670.","Helicoverpa zea","Steinernema riobravis",7113,"Helicoverpa","Noctuidae","Lepidoptera","Insecta",52067,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
234,1268,"Raulston, J. R., Pair, S. D., Loera, J. and Cabanillas, H. E., 1992.  Prepupal and pupal parasitism of Helicoverpa zea and Spodptera frugiperda (Lepidoptera: Noctuidae) by Steinernema sp. in cornfields in the lower Rio Grande Valley.  Journal of Economic Entomology 85: 1666-1670.","Spodoptera frugiperda","Steinernema riobravis",7108,"Spodoptera","Noctuidae","Lepidoptera","Insecta",52067,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
14,1265,"Nguyen, K. B. and Smart, G. C., Jr., 1990.  Steinernema scapterisci n. sp. (Rhabditida: Steinernematidae).  Journal of Nematology 23: 187-199.","Scapteriscus vicinus","Steinernema scapterisci",2126138,"Neoscapteriscus","Gryllotalpidae","Orthoptera","Insecta",90986,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
95,1269,"Stock, S. P., Gardner, L. L., Wu, F. F. and Kaya, H. K., 1995.  Characterization of two Steinernema scapterisci populations (Nematoda: Steinernematidae) using morphology and random amplified polymorphic DNA markers.  Journal of the Helminthological Society of Washington 62: 242-249.","Scapteriscus borellii","Steinernema scapterisci",935122,"Scapteriscus","Gryllotalpidae","Orthoptera","Insecta",90986,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
15,1270,"Parkman, J. P. and Frank, J. H., 1992.  Infection of sound-trapped mole crickets, Scapteriscus spp., by Steinernema scapterisci.  Florida Entomologist 75: 163-165.","Scapteriscus vicinus","Steinernema scapterisci",2126138,"Neoscapteriscus","Gryllotalpidae","Orthoptera","Insecta",90986,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
16,1270,"Parkman, J. P. and Frank, J. H., 1992.  Infection of sound-trapped mole crickets, Scapteriscus spp., by Steinernema scapterisci.  Florida Entomologist 75: 163-165.","Scapteriscus borellii","Steinernema scapterisci",935122,"Scapteriscus","Gryllotalpidae","Orthoptera","Insecta",90986,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
