"","ERNntr","Pathogen","DateEntered","DateModified","LogMaxDose","HostStageTested","Host","Group","HighTaxon","LowTaxon","Order","Family"
"1",1,"Plusia gamma NPV (PgSNPV)","1/25/2096","12/28/2000","4 pibs/larva","Larva","Agrotis segetum","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"2",2,"Pieris brassicae GV","1/25/2096","2/12/2099","6 pibs/larva","Larva","Agrotis segetum","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"3",3,"Plusia gamma NPV (PgSNPV)","1/25/2096","12/13/2000","4 pibs/larva","Larva","Agrotis exclamationis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"4",4,"Pieris brassicae GV","1/25/2096","2/12/2099","6 pibs/larva","Larva","Agrotis exclamationis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"5",5,"Pieris brassicae GV","1/25/2096","2/12/2099","6 pibs/larva","Larva","Agrotis exclamationis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"6",6,"Plusia gamma NPV (PgSNPV)","1/25/2096","12/13/2000","4 pibs/larva","Larva","Noctua pronuba","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"7",7,"Pieris brassicae GV","1/25/2096","2/12/2099","6 pibs/larva","Larva","Noctua pronuba","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"8",8,"Plusia gamma NPV (PgSNPV)","1/25/2096","12/13/2000","4 pibs/larva","Larva","Mamestra brassicae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"9",9,"Agrotis segetum GV","1/25/2096","2/12/2099","6 pibs/larva","Larva","Mamestra brassicae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"10",10,"Pieris brassicae GV","1/25/2096","2/12/2099","6 pibs/larva","Larva","Mamestra brassicae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"11",11,"Agrotis segetum NPV  (AsMNPV)","1/25/2096","2/12/2099","4 pibs/larva","Larva","Lacanobia oleracea","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"12",12,"Plusia gamma NPV (PgSNPV)","1/25/2096","12/13/2000","4 pibs/larva","Larva","Lacanobia oleracea","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"13",13,"Agrotis segetum GV","1/25/2096","2/12/2099","6 pibs/larva","Larva","Lacanobia oleracea","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"14",14,"Pieris brassicae GV","1/25/2096","2/12/2099","6 pibs/larva","Larva","Lacanobia oleracea","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"15",15,"Agrotis segetum NPV  (AsMNPV)","1/25/2096","2/12/2099","4 pibs/larva","Larva","Autographa gamma","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"16",16,"Agrotis segetum GV","1/25/2096","2/12/2099","6 pibs/larva","Larva","Autographa gamma","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"17",17,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","4 pibs/larva","Larva","Artogeia rapae","Viruses","DNA virus","Baculoviridae","",""
"18",18,"Agrotis segetum NPV  (AsMNPV)","1/25/2096","2/12/2099","4 pibs/larva","Larva","Artogeia rapae","Viruses","DNA virus","Baculoviridae","",""
"19",19,"Plusia gamma NPV (PgSNPV)","1/25/2096","12/13/2000","4 pibs/larva","Larva","Artogeia rapae","Viruses","DNA virus","Baculoviridae","",""
"20",20,"Agrotis segetum GV","1/25/2096","2/12/2099","6 pibs/larva","Larva","Artogeia rapae","Viruses","DNA virus","Baculoviridae","",""
"21",21,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Choristoneura rosaceana","Viruses","DNA virus","Baculoviridae","Lepidoptera","Tortricidae"
"22",22,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Choristoneura fumiferana","Viruses","DNA virus","Baculoviridae","Lepidoptera","Tortricidae"
"23",23,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Artogeia napi","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pieridae"
"24",24,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Phyciodes tharos","Viruses","DNA virus","Baculoviridae","Lepidoptera","Nymphalidae"
"25",25,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Ostrinia nubilalis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pyralidae"
"26",26,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Campaea perlata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"27",27,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Nemoria mimosaria","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"28",28,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Orthonama obstipata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"29",29,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Horisme intestinata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"30",30,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Hyles gallii","Viruses","DNA virus","Baculoviridae","Lepidoptera","Sphingidae"
"31",31,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Estigmene acrea","Viruses","DNA virus","Baculoviridae","Lepidoptera","Arctiidae"
"32",32,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Spilosoma congrua","Viruses","DNA virus","Baculoviridae","Lepidoptera","Arctiidae"
"33",33,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Spilosoma virginica","Viruses","DNA virus","Baculoviridae","Lepidoptera","Arctiidae"
"34",34,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Spilosoma virginica","Viruses","DNA virus","Baculoviridae","Lepidoptera","Arctiidae"
"35",35,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Dasychira pinicola","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lymantriidae"
"36",36,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Orgyia leucostigma","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lymantriidae"
"37",37,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Orgyia pseudotsugata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lymantriidae"
"38",38,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Zanclognatha pedipilalis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"39",39,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Autographa precationis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"40",40,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Autographa flagellum","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"41",41,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Anagrapha falcifera","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"42",42,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Acronicta impleta","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"43",43,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Oligia illocata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"44",44,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Phlogophora iris","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"45",45,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Hyppa xylinoides","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"46",46,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Platyperigea multifera","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"47",47,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Eupsilia tristigmata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"48",48,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Polia latex","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"49",49,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Melanchra pulverulenta","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"50",50,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Lacanobia radix","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"51",51,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Lacanobia grandis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"52",52,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Mythimna unipuncta","Viruses","DNA virus","Baculoviridae","",""
"53",53,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Leucania multilinea","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"54",54,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Orthosia revicta","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"55",55,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Crocigrapha normani","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"56",56,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Homorthodes furfurata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"57",57,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Agrotis ipsilon","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"58",58,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Peridroma saucia","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"59",59,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Diarsia rubifera","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
