"","ERNntr","Pathogen","DateEntered","DateModified","LogMaxDose","HostStageTested","Host","Group","HighTaxon","LowTaxon","Order","Family"
"60",60,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Diarsia jucunda","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"61",61,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Xestia adela","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"62",62,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Xestia smithii","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"63",63,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Metalepsis salicarum","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"64",64,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Anaplectoides pressus","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"65",65,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Eueretagrotis attenta","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"66",66,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Cryptocala acadiensis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"67",67,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Larva","Pyrrhia exprimens","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"68",68,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Adult","Cyrtophleba coquilletti","Viruses","DNA virus","Baculoviridae","Diptera","Tachinidae"
"69",69,"Lymantria dispar NPV  (LdMNPV)","1/25/2096","2/12/2099","5 pibs/insect","Adult","Megachile rotundata","Viruses","DNA virus","Baculoviridae","Hymenoptera","Megachilidae"
"70",70,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Boloria uphrosyne","Viruses","DNA virus","Baculoviridae","Lepidoptera","Nymphalidae"
"71",71,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Clossiana selene","Viruses","DNA virus","Baculoviridae","Lepidoptera","Nymphalidae"
"72",72,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Pararge aegeria","Viruses","DNA virus","Baculoviridae","Lepidoptera","Nymphalidae"
"73",73,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Polyommatus icarus","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lycaenidae"
"74",74,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Pieris brassicae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pieridae"
"75",75,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Malacosoma neustria","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lasiocampidae"
"76",76,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Philudoria potatoria","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lasiocampidae"
"77",77,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Saturnia pavonia","Viruses","DNA virus","Baculoviridae","Lepidoptera","Saturniidae"
"78",78,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Cyclophora linearia","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"79",79,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Idaea aversata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"80",80,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Orthonama obstipata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"81",81,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Dysstroma truncata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"82",82,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Opisthograptis luteolata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"83",83,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Menophra abruptaria","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"84",84,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Acherontia atropos","Viruses","DNA virus","Baculoviridae","Lepidoptera","Sphingidae"
"85",85,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Mimas tiliae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Sphingidae"
"86",86,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Smerinthus ocellata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Sphingidae"
"87",87,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Hyles euphorbiae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Sphingidae"
"88",88,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Deilephila elpenor","Viruses","DNA virus","Baculoviridae","Lepidoptera","Sphingidae"
"89",89,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Deilephila elpenor","Viruses","DNA virus","Baculoviridae","Lepidoptera","Sphingidae"
"90",90,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Phalera bucephala","Viruses","DNA virus","Baculoviridae","Lepidoptera","Notodontidae"
"91",91,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Pheosia tremula","Viruses","DNA virus","Baculoviridae","Lepidoptera","Notodontidae"
"92",92,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Drymonia ruficornis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Notodontidae"
"93",93,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Orgyia antiqua","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lymantriidae"
"94",94,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Calliteara pudibunda","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lymantriidae"
"95",95,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Spilosoma lubricipeda","Viruses","DNA virus","Baculoviridae","Lepidoptera","Arctiidae"
"96",96,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Tyria jacobaeae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Arctiidae"
"97",97,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Anaplectoides prasina","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"98",98,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Hyppa rectilinea","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"99",99,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Spodoptera littoralis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"100",100,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Pseudoips fagana britannica","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"101",101,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Autographa pulchrina","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"102",102,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Yponomeuta padella","Viruses","DNA virus","Baculoviridae","Lepidoptera","Yponomeutidae"
"103",103,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Udea olivalis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pyralidae"
"104",104,"Mamestra brassicae NPV (MbMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Antheraea pernyi","Viruses","DNA virus","Baculoviridae","Lepidoptera","Saturniidae"
"105",105,"Spodoptera exigua NPV  (SeMNPV)","1/15/2096","2/12/2099","7 pibs/cm2","Larva","Agrotis segetum","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"106",106,"Autographa californica NPV (AcMNPV)","1/19/2096","12/13/2000","6.2 pibs/ml","Larva","Sabulodes transversata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"107",107,"Spodoptera exigua NPV  (SeMNPV)","1/20/2096","2/12/2099","7 pibs/cm2","Larva","Xestia c-nigrum","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"108",108,"Spodoptera exigua NPV  (SeMNPV)","1/20/2096","2/12/2099","7 pibs/cm2","Larva","Mamestra brassicae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"109",109,"Spodoptera exigua NPV  (SeMNPV)","1/20/2096","2/12/2099","7 pibs/cm2","Larva","Lacanobia oleracea","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"110",110,"Spodoptera exigua NPV  (SeMNPV)","1/20/2096","2/12/2099","7 pibs/cm2","Larva","Spodoptera littoralis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"111",111,"Spodoptera exigua NPV  (SeMNPV)","1/20/2096","2/12/2099","7 pibs/cm2","Larva","Plutella xylostella","Viruses","DNA virus","Baculoviridae","Lepidoptera","Plutellidae"
"112",112,"Spodoptera exigua NPV  (SeMNPV)","1/20/2096","2/12/2099","7 pibs/cm2","Larva","Galleria mellonella","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pyralidae"
"113",113,"Spodoptera exigua NPV  (SeMNPV)","1/20/2096","2/12/2099","7 pibs/cm2","Larva","Ostrinia nubilalis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pyralidae"
"114",114,"Spodoptera exigua NPV  (SeMNPV)","1/20/2096","2/12/2099","7 pibs/cm2","Larva","Adoxophyes orana","Viruses","DNA virus","Baculoviridae","Lepidoptera","Tortricidae"
"115",115,"Spodoptera exigua NPV  (SeMNPV)","1/20/2096","2/12/2099","7 pibs/cm2","Larva","Cydia pomonella","Viruses","DNA virus","Baculoviridae","Lepidoptera","Tortricidae"
"116",116,"Pseudoplusia includens NPV  (PiSNPV)","1/20/2096","2/12/2099","4.4 pibs/mm2","Larva","Diachrysia balluca","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"117",117,"Pseudoplusia includens NPV  (PiSNPV)","1/20/2096","2/12/2099","4.4 pibs/mm2","Larva","Rachiplusia ou","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"118",118,"Syngrapha selecta NPV  (SsSNPV)","1/20/2096","2/12/2099","4.4 pibs/mm2","Larva","Autographa biloba","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"119",119,"Syngrapha selecta NPV  (SsSNPV)","1/20/2096","2/12/2099","4.4 pibs/mm2","Larva","Pseudoplusia includens","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"120",120,"Syngrapha selecta NPV  (SsSNPV)","1/20/2096","2/12/2099","4.4 pibs/mm2","Larva","Rachiplusia ou","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"121",121,"Trichoplusia ni NPV  (TnSNPV)","1/20/2096","2/12/2099","4.4 pibs/mm2","Larva","Autographa biloba","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"122",122,"Trichoplusia ni NPV  (TnSNPV)","1/20/2096","2/12/2099","4.4 pibs/mm2","Larva","Autographa bimaculata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"123",123,"Trichoplusia ni NPV  (TnSNPV)","1/20/2096","2/12/2099","4.4 pibs/mm2","Larva","Pseudoplusia includens","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"124",124,"Trichoplusia ni NPV  (TnSNPV)","1/20/2096","2/12/2099","4.4 pibs/mm2","Larva","Rachiplusia ou","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"125",125,"Autographa californica NPV (AcMNPV)","1/20/2096","12/13/2000","6.2 pibs/ml","Larva","Symmerista canicosta","Viruses","DNA virus","Baculoviridae","Lepidoptera","Notodontidae"
"126",126,"Autographa californica NPV (AcMNPV)","1/20/2096","12/13/2000","6.2 pibs/ml","Larva","Croesia albicomma","Viruses","DNA virus","Baculoviridae","Lepidoptera","Tortricidae"
"127",127,"Thymelicus lineola NPV","1/20/2096","2/12/2099","7 pibs/ml","Larva","Choristoneura fumiferana","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Lepidoptera","Tortricidae"
"128",128,"Thymelicus lineola NPV","1/20/2096","2/12/2099","7 pibs/ml","Larva","Choristoneura conflictana","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Lepidoptera","Tortricidae"
"129",129,"Thymelicus lineola NPV","1/20/2096","12/13/2000","7 pibs/ml","Larva","Archips cerasivorana","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Lepidoptera","Tortricidae"
"130",130,"Thymelicus lineola NPV","1/20/2096","2/12/2099","7 pibs/ml","Larva","Malacosoma disstria","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Lepidoptera","Lasiocampidae"
"131",131,"Thymelicus lineola NPV","1/20/2096","2/12/2099","7 pibs/ml","Larva","Orgyia leucostigma","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Lepidoptera","Lymantriidae"
"132",132,"Thymelicus lineola NPV","1/20/2096","2/12/2099","7 pibs/ml","Larva","Actebia fennica","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Lepidoptera","Noctuidae"
"133",133,"Thymelicus lineola NPV","1/20/2096","12/13/2000","7 pibs/ml","Larva","Pachysphynx  modesta","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Lepidoptera","Sphingidae"
"134",134,"Thymelicus lineola NPV","1/20/2096","2/12/2099","7 pibs/ml","Larva","Anisota senatoria","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Lepidoptera","Saturniidae"
"135",135,"Thymelicus lineola NPV","1/20/2096","2/12/2099","7 pibs/ml","Larva","Neodiprion pratti banksianae","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Hymenoptera","Diprionidae"
"136",136,"Thymelicus lineola NPV","1/20/2096","2/12/2099","7 pibs/ml","Larva","Neodiprion nanulus nanulus","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Hymenoptera","Diprionidae"
"137",137,"Thymelicus lineola NPV","1/20/2096","2/12/2099","7 pibs/ml","Larva","Neodiprion swainei","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Hymenoptera","Diprionidae"
"138",138,"Thymelicus lineola NPV","1/20/2096","2/12/2099","7 pibs/ml","Larva","Pristiphora erichsonii","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Hymenoptera","Tenthredinidae"
"139",139,"Thymelicus lineola NPV","1/20/2096","2/12/2099","7 pibs/ml","Larva","Pristiphora geniculata","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Hymenoptera","Tenthredinidae"
"140",140,"Thymelicus lineola NPV","1/20/2096","2/12/2099","7 pibs/ml","Larva","Trichiocampus irregularis","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Hymenoptera","Tenthredinidae"
