"","PathogenSpecies","Group","HighTaxon","LowTaxon","AdditionalNotes"
"363","Octosporea chironomi","Protozoa","Microspora","Microsporea (Microsporida)",""
"364","Octosporea corethrae","Protozoa","Microspora","Microsporea (Microsporida)",""
"365","Octosporea ephestiae","Protozoa","Microspora","Microsporea (Microsporida)",""
"366","Octosporea intestinalis","Protozoa","Microspora","Microsporea (Microsporida)",""
"367","Octosporea monospora","Protozoa","Microspora","Microsporea (Microsporida)",""
"368","Octosporea muscaedomesticae","Protozoa","Microspora","Microsporea (Microsporida)",""
"369","Octosporea simulii","Protozoa","Microspora","Microsporea (Microsporida)",""
"370","Octosporea sp.","Protozoa","Microspora","Microsporea (Microsporida)",""
"371","Octosporea viridanae","Protozoa","Microspora","Microsporea (Microsporida)",""
"372","Ringueletium pillosa ","Protozoa","Microspora","Microsporea (Microsporida)",""
