"","PathogenSpecies","Group","HighTaxon","LowTaxon","AdditionalNotes"
"46","Cephalosporium  sp.","Fungi","Deuteromycetes","unknown",""
"47","Cladosporium sp. ","Fungi","Deuteromycetes","unknown",""
"48","Coelomomyces iliensis","Fungi","Chytridiomycetes","Blastocladiales",""
"49","Coelomomyces ponticulus","Fungi","Chytridiomycetes","Blastocladiales",""
"50","Coelomomyces raffaelei","Fungi","Chytridiomycetes","Blastocladiales",""
"51","Hirsutella cryptosclerotium","Fungi","Deuteromycetes","unknown",""
"52","Hirsutella versicolor","Fungi","Deuteromycetes","unknown",""
"53","Microhilum oncoperae","Fungi","Deuteromycetes","unknown",""
"54","Tilachlidiopsis nigra","Fungi","Deuteromycetes","unknown",""
"55","Tolypocladium lecanii","Fungi","Deuteromycetes","unknown",""
"56","Paecilomyces farinosus","Fungi","Deuteromycetes","unknown",""
"57","Metarhizium sp.","Fungi","Deuteromycetes","unknown",""
"58","Coelomomyces punctatus","Fungi","Chytridiomycetes","Blastocladiales",""
"59","Coelomomyces stegomyiae","Fungi","Chytridiomycetes","Blastocladiales",""
"60","Entomophaga maimaiga","Fungi","Zygomycetes","Entomophthorales",""
"61","Filobasidiella arachnophila","Fungi","Hymenomycetes","Tremellales",""
"62","Nosema bordati","Protozoa","Microspora","Microsporea (Microsporida)",""
"63","Penicillium citrinum","Fungi","Deuteromycetes","unknown",""
"64","Trichothecium roseum","Fungi","Deuteromycetes","unknown",""
"65","Trichothecium  sp.","Fungi","Deuteromycetes","unknown",""
"66","Verticillium lecanii","Fungi","Deuteromycetes","unknown",""
"67","Paecilomyces fumosoroseus","Fungi","Deuteromycetes","unknown",""
"68","Beauveria sulfurescens","Fungi","Deuteromycetes","unknown",""
"69","Paecilomyces lilacinus","Fungi","Deuteromycetes","unknown",""
"70","Beauveria densa","Fungi","Deuteromycetes","unknown",""
"71","Furia ithacensis","Fungi","Zygomycetes","Entomophthorales",""
"72","Zoophthora radicans ","Fungi","Zygomycetes","Entomophthorales",""
"73","Neozygites fresenii","Fungi","Zygomycetes","Entomophthorales",""
"74","Ascosphaera aggregata","Fungi","Plectomycetes","Ascosphaerales",""
"75","Ascosphaera apis","Fungi","Plectomycetes","Ascosphaerales",""
"76","Ascosphaera atra","Fungi","Plectomycetes","Ascosphaerales",""
"77","Ascosphaera proliperda","Fungi","Plectomycetes","Ascosphaerales",""
"78","Cordyceps heteropoda","Fungi","Pyrenomycetes","Hypocreales",""
"79","Cordyceps koreana","Fungi","Pyrenomycetes","Hypocreales",""
"80","Cordyceps nipponica","Fungi","Pyrenomycetes","Hypocreales",""
"81","Cordyceps nutans","Fungi","Pyrenomycetes","Hypocreales",""
"82","Cordyceps owariensis","Fungi","Pyrenomycetes","Hypocreales",""
"83","Cordyceps paradoxa","Fungi","Pyrenomycetes","Hypocreales",""
"84","Cordyceps sobolifera","Fungi","Pyrenomycetes","Hypocreales",""
"85","Cordyceps  sp.","Fungi","Pyrenomycetes","Hypocreales",""
"86","Cordyceps tricentri","Fungi","Pyrenomycetes","Hypocreales",""
"87","Cordyceps unilateralis","Fungi","Pyrenomycetes","Hypocreales",""
"88","Nectria flammea ","Fungi","Pyrenomycetes","Hypocreales",""
"89","Cordyceps brongniartii","Fungi","Pyrenomycetes","Hypocreales",""
"90","Cordyceps militaris","Fungi","Pyrenomycetes","Hypocreales",""
"91","Coelomycidium  sp.","Fungi","Chytridiomycetes","Chytridiales",""
"92","Acremonium berkeleyanum","Fungi","Deuteromycetes","unknown",""
"93","Beauveria sp.","Fungi","Deuteromycetes","unknown",""
"94","Culicinomyces clavisporus","Fungi","Deuteromycetes","unknown",""
"95","Aschersonia marginata","Fungi","Deuteromycetes","unknown",""
"96","Aspergillus ochraceus","Fungi","Deuteromycetes","unknown",""
"97","Aspergillus oryzae","Fungi","Deuteromycetes","unknown",""
"98","Torrubiella luteorostrata","Fungi","Pyrenomycetes","Hypocreales",""
"99","Torrubiella tenuis","Fungi","Pyrenomycetes","Hypocreales",""
"100","Torrubiella tomentosa","Fungi","Pyrenomycetes","Hypocreales",""
"101","Myriangium duriaei","Fungi","Loculoascomycetes","Myriangiales",""
"102","Myriangium montagnei","Fungi","Loculoascomycetes","Myriangiales",""
"103","Myriangium thwaitesii","Fungi","Loculoascomycetes","Myriangiales",""
"104","Nectria aurantiicola","Fungi","Pyrenomycetes","Hypocreales",""
"105","Nectria barbata","Fungi","Pyrenomycetes","Hypocreales",""
