"","ERNnem","Host","Nematode","NemaOrder","NemaFamily","NemaStrain","StageInfected","TissueInfected","FieldOrLab","Country","SoilType","AssociatedBacterium","IntermediateHost","CreationDate","ModificationDate","Group"
"11",42,"Graphognathus leucoloma","Steinernema carpocapsae","Rhabditida","Steinernematidae","Argentinian","Larva","Hemocoel","Field","Argentina","","Xenorhabdus nematophilus","none","5/14/2097","12/7/2000","Nematode"
"12",43,"Otiorhynchus sulcatus","Steinernema carpocapsae","Rhabditida","Steinernematidae","Breton","Larva","Hemocoel","Field","France","","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"13",44,"Cleonis mendicus","Steinernema carpocapsae","Rhabditida","Steinernematidae","menozzi (syn.)","Larva","Hemocoel","Field","Italy","","Xenorhabdus nematophilus","none","5/14/2097","2/5/2000","Nematode"
"14",45,"Hylobius pales","Steinernema carpocapsae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Sweden","coniferous forest","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"15",46,"Vespula sp.","Steinernema carpocapsae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Tasmania","","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"16",229,"Cephalcia lariciphila","Steinernema carpocapsae","Rhabditida","Steinernematidae","not maintained","Pupa","Hemocoel","Field","United Kingdom","coniferous forest (larch)","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"17",230,"Rhagoletis pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Rhagoletis","Pupa","Hemocoel","Field","USA","orchards","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"18",47,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","DD-136","Larva","Hemocoel","Field","USA","orchards","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"19",48,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Sierra","Larva","Hemocoel","Field","USA","","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"20",49,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Mexican","Larva","Hemocoel","Field","Mexico","","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"21",50,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Czechoslovakian","Larva","Hemocoel","Field","Czech Republic","","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"22",51,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Poland","orchards","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"23",52,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","XI","Larva","Hemocoel","Field","Poland, Italy","orchards","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"24",53,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Italy","orchards","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"25",54,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","DD517","Larva","Hemocoel","Field","","","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"26",55,"Agrotis segetum","Steinernema carpocapsae","Rhabditida","Steinernematidae","XIII","Larva","Hemocoel","Field","Poland","farmed land","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"27",225,"Mamestra brassicae","Steinernema carpocapsae","Rhabditida","Steinernematidae","not maintained","Larva, Pupa","Hemocoel","Field","Poland","vegetables","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"28",56,"Helicoverpa armigera","Steinernema carpocapsae","Rhabditida","Steinernematidae","chresima (syn.)","Larva","Hemocoel","Field","USA","grain","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"29",226,"Pieris brassicae","Steinernema carpocapsae","Rhabditida","Steinernematidae","XIV (Pieridarum)","Larva, Pupa","Hemocoel","Field","Poland","vegetables","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"30",57,"Vitacea polistiformis","Steinernema carpocapsae","Rhabditida","Steinernematidae","All","Larva","Hemocoel","Field","USA","","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"31",58,"Semiothisa pumila","Steinernema carpocapsae","Rhabditida","Steinernematidae","semiothisae (syn.)","Larva","Hemocoel","Field","","","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099","Nematode"
"32",59,"Pardileus calceatus","Steinernema feltiae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"33",60,"Selatosomus melancholicus","Steinernema feltiae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Russia","loamy sand / pasture","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"34",61,"Pytho depressus","Steinernema feltiae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Russia","loamy sand","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"35",62,"Rhagium inquisitor","Steinernema feltiae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Russia","loamy sand","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
