ERNnem,refCode,Reference,Host,Nematode
139,1247,"Akhurst, R. J., Bedding, R. A., Bull, R. M. and Smith, D.R.J., 1992. An epizootic of Heterorhabditis spp. (Heterorhabditidae: Nematoda) in sugar cane scarabaeids (Coleoptera). Fundamental and Applied Nematology 15: 71-73.",Graphognathus leucoloma,Heterorhabditis sp.
140,1238,"Poinar, G. O., Jr., 1990. Biology and taxonomy of Steinernematidae and Heterorhabditidae, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. & Kaya, H. K., eds) CRC Press, Boca Raton, FL, pp. 23-61",Graphognathus leucoloma,Heterorhabditis sp.
141,1273,"Arteaga-Hernandez, E. M. and Mrácek, Z., 1984.  Heterorhabditis heliothidis, a parasite of insect pests in Cuba.  Folia Parasitologica (Praha) 31: 11-17.",Cylas formicarius,Heterorhabditis sp.
142,1273,"Arteaga-Hernandez, E. M. and Mrácek, Z., 1984.  Heterorhabditis heliothidis, a parasite of insect pests in Cuba.  Folia Parasitologica (Praha) 31: 11-17.",Pachnaeus litus,Heterorhabditis sp.
143,1237,"Poinar, G. O., Jr., 1992. Nematodes associated with Scarabaeidae, in  Use of Pathogens in Scarab Pest Management (Jackson, T.A. & Glare, T.R., eds.) Intercept, Andover. pp 93-109",Pericoptus truncatus,Heterorhabditis sp.
144,1308,"Strong, D. R., Maron, J.L., Connors, P.G., Whipple, A., Harrison, S. and Jefferies, R. L., 1995.  High mortality, fluctuation in numbers, and heavy subterranean insect herbivory in bush lupine, Lupinus arboreus. Oecologia 104: 85-92.",Hepialus californicus,Heterorhabditis hepialus 
145,1238,"Poinar, G. O., Jr., 1990. Biology and taxonomy of Steinernematidae and Heterorhabditidae, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. & Kaya, H. K., eds) CRC Press, Boca Raton, FL, pp. 23-61",Gasterocercodes brasiliensis,Heterorhabditis sp.
146,1235,"Bovien, P., 1937. Some types of association between nematodes and insects. Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening 101:1-114",Dilophus vulgaris,Steinernema feltiae
17,1293,"Nguyen, K. B. and Smart, G. C., 1991. Pathogenicity of Steinernema scapterisci to selected invertebrates.  Journal of Nematology 23: 7-11.",Acheta domesticus,Steinernema scapterisci
18,1293,"Nguyen, K. B. and Smart, G. C., 1991. Pathogenicity of Steinernema scapterisci to selected invertebrates.  Journal of Nematology 23: 7-11.",Scapteriscus borellii,Steinernema scapterisci
19,1293,"Nguyen, K. B. and Smart, G. C., 1991. Pathogenicity of Steinernema scapterisci to selected invertebrates.  Journal of Nematology 23: 7-11.",Scapteriscus vicinus,Steinernema scapterisci
147,1237,"Poinar, G. O., Jr., 1992. Nematodes associated with Scarabaeidae, in  Use of Pathogens in Scarab Pest Management (Jackson, T.A. & Glare, T.R., eds.) Intercept, Andover. pp 93-109",Heteronychus arator,Heterorhabditis zealandica
148,1297,"Dale, P. S., 1964.  A new species of Cephalobellus (Nematoda: Thelastomatidae) from the larva of Costelytra zealandica (Coleoptera: Melolonghinae). New Zealand Journal of Science 7: 596-601.",Costelytra zealandica,Cephalobellus costelytrae
1,1296,"Poinar, G. O., Jr., 1990. Austromermis n. gen. and Blepharomermis n. gen. (Mermithidae: Nematoda)from New Zealand Simuliidae and Blepharoceridae (Diptera). Revue de nematologie 13: 395-402.",Austrosimulium multicorne,Austromemermis namis
2,1296,"Poinar, G. O., Jr., 1990. Austromermis n. gen. and Blepharomermis n. gen. (Mermithidae: Nematoda)from New Zealand Simuliidae and Blepharoceridae (Diptera). Revue de nematologie 13: 395-402.",Neocurupira hudsoni,Blepharomermis craigi
3,1228,"Glare, T.R., O’Callaghan, M., and Wigley, P.J. 1993. Checklist of naturally occurring entomopathogens microbes and nematodes in New Zealand.  New Zealand Journal of Zoology 20: 95-120. ",Costelytra zealandica,Psammomermis canterburiensis
4,1295,"Zondag, R., 1969. A nematode infection of Sirex noctilio (F) in New Zealand.  New Zealand Journal of Science 12: 732-747.",Sirex noctilio,Delandenus siricidicola
5,1294,"Dale, P. S., 1966. Blatticola tuapakae and Protrellina gurri n. spp., nematode parasites of the black roach.  New Zealand Journal of Science 9: 538-544.",Platyzosteria novaeseelandiae,Blatticola tuapakae
6,1294,"Dale, P. S., 1966. Blatticola tuapakae and Protrellina gurri n. spp., nematode parasites of the black roach.  New Zealand Journal of Science 9: 538-544.",Platyzosteria novaeseelandiae,Protrellina gurri 
149,1298,"Dale, P. S., 1964. Tetleyus pericopti n. gen. et sp. A thelastomatid nematode from larvae of Pericoptus trucnatus (Fab) (Coleoptera: Dynastinae). New Zealand Journal of Science 7: 589-595.",Pericoptus truncatus,Tetleyus pericopti
7,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Eudonia sabulosella,Steinernema feltiae
150,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Popillia japonica,Heterorhabditis bacteriophora
151,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Cyclocephala borealis,Steinernema carpocapsae
152,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Cyclocephala borealis,Heterorhabditis bacteriophora
153,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Cyclocephala hirta,Heterorhabditis bacteriophora
154,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Popillia japonica,Heterorhabditis bacteriophora
155,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Popillia japonica,Heterorhabditis sp.
156,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Popillia japonica,Steinernema carpocapsae
157,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Rhizotrogus majalis,Steinernema carpocapsae
158,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Rhizotrogus majalis,Steinernema glaseri
159,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Rhizotrogus majalis,Heterorhabditis bacteriophora
160,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Rhizotrogus majalis,Heterorhabditis sp.
161,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Phyllopertha horticola,Heterorhabditis megidis
162,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Costelytra zealandica,Steinernema glaseri
163,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Costelytra zealandica,Heterorhabditis bacteriophora
164,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Adoryphorus couloni,Steinernema glaseri
165,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Alissonotum impressicolle,Steinernema glaseri
166,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Ligyrus subtropicus,Steinernema glaseri
167,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Alissonotum impressicolle,Heterorhabditis sp.
168,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Ligyrus subtropicus,Steinernema carpocapsae
169,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Popillia japonica,Steinernema carpocapsae
170,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Otiorhynchus sulcatus,Heterorhabditis bacteriophora
171,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Otiorhynchus sulcatus,Heterorhabditis bacteriophora
172,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Otiorhynchus sulcatus,Heterorhabditis sp.
173,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Otiorhynchus ovatus,Steinernema carpocapsae
174,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Otiorhynchus ovatus,Steinernema glaseri
175,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Otiorhynchus ovatus,Heterorhabditis bacteriophora
176,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Diaprepes abbreviatus,Steinernema carpocapsae
177,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Diaprepes abbreviatus,Steinernema glaseri
178,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Graphognathus sp.,Steinernema carpocapsae
179,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Graphognathus sp.,Steinernema glaseri
180,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Hylobius abietis,Steinernema carpocapsae
181,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Curculio caryae,Steinernema carpocapsae
182,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Sphenophorus parvulus,Steinernema carpocapsae
183,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Sphenophorus parvulus,Heterorhabditis bacteriophora
8,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Anasa tristis,Steinernema carpocapsae
184,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Holcocerus insularis,Steinernema affinis
9,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Amyelois transitella,Steinernema carpocapsae
185,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Cydia pomonella,Steinernema carpocapsae
186,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Platyptilia carduidactyla,Steinernema carpocapsae
187,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Monochamus alternatus,Steinernema carpocapsae
188,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Monochamus alternatus,Steinernema glaseri
10,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Monochamus alternatus,Steinernema feltiae
189,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Monochamus alternatus,Heterorhabditis bacteriophora
190,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Liriomyza trifolii,Steinernema carpocapsae
191,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Blattella germanica,Steinernema carpocapsae
227,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Periplaneta americana,Heterorhabditis zealandica
20,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Musca domestica,Heterorhabditis bacteriophora
21,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Musca domestica,Steinernema carpocapsae
192,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Lycoriella auripila,Steinernema carpocapsae
11,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Lycoriella auripila,Steinernema feltiae
22,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Lycoriella auripila,Heterorhabditis bacteriophora
193,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Alphitobius diaperinus,Steinernema carpocapsae
194,1301,"Begley, J. W., 1990.  Efficacy against insect in habitats other than soil, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Lissorhoptrus oryzophilus,Steinernema carpocapsae
23,1293,"Nguyen, K. B. and Smart, G. C., 1991. Pathogenicity of Steinernema scapterisci to selected invertebrates.  Journal of Nematology 23: 7-11.",Gryllus sp.,Steinernema scapterisci
24,1293,"Nguyen, K. B. and Smart, G. C., 1991. Pathogenicity of Steinernema scapterisci to selected invertebrates.  Journal of Nematology 23: 7-11.",Periplaneta americana,Steinernema scapterisci
25,1293,"Nguyen, K. B. and Smart, G. C., 1991. Pathogenicity of Steinernema scapterisci to selected invertebrates.  Journal of Nematology 23: 7-11.",Scapteriscus abbreviatus,Steinernema scapterisci
26,1293,"Nguyen, K. B. and Smart, G. C., 1991. Pathogenicity of Steinernema scapterisci to selected invertebrates.  Journal of Nematology 23: 7-11.",Anticarsia gemmatalis,Steinernema scapterisci
27,1293,"Nguyen, K. B. and Smart, G. C., 1991. Pathogenicity of Steinernema scapterisci to selected invertebrates.  Journal of Nematology 23: 7-11.",Feltia subterranea,Steinernema scapterisci
28,1293,"Nguyen, K. B. and Smart, G. C., 1991. Pathogenicity of Steinernema scapterisci to selected invertebrates.  Journal of Nematology 23: 7-11.",Galleria mellonella,Steinernema scapterisci
29,1293,"Nguyen, K. B. and Smart, G. C., 1991. Pathogenicity of Steinernema scapterisci to selected invertebrates.  Journal of Nematology 23: 7-11.",Spodoptera frugiperda,Steinernema scapterisci
30,1293,"Nguyen, K. B. and Smart, G. C., 1991. Pathogenicity of Steinernema scapterisci to selected invertebrates.  Journal of Nematology 23: 7-11.",Apis mellifera,Steinernema scapterisci
195,1307,"Koppenhofer, A., observer.  Department of Nematology, University of California-Davis, Davis, CA 95616.",Sphenophorus venatus,Heterorhabditis bacteriophora
196,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Cyclocephala borealis,Steinernema carpocapsae
197,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Cyclocephala borealis,Steinernema carpocapsae
198,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Cyclocephala borealis,Steinernema carpocapsae
199,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Cyclocephala borealis,Steinernema carpocapsae
200,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Cyclocephala borealis,Steinernema carpocapsae
201,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Cyclocephala borealis,Steinernema carpocapsae
202,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Cyclocephala borealis,Steinernema anomali
203,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Cyclocephala borealis,Steinernema glaseri
204,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Cyclocephala borealis,Heterorhabditis bacteriophora
205,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Cyclocephala borealis,Heterorhabditis megidis
206,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Popillia japonica,Steinernema carpocapsae
207,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Popillia japonica,Steinernema carpocapsae
208,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Popillia japonica,Steinernema carpocapsae
209,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Popillia japonica,Steinernema carpocapsae
210,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Popillia japonica,Steinernema carpocapsae
211,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Popillia japonica,Steinernema carpocapsae
212,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Popillia japonica,Steinernema anomali
213,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Popillia japonica,Steinernema glaseri
214,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Popillia japonica,Heterorhabditis bacteriophora
215,1237,"Poinar, G. O., Jr., 1992. Nematodes associated with Scarabaeidae, in  Use of Pathogens in Scarab Pest Management (Jackson, T.A. & Glare, T.R., eds.) Intercept, Andover. pp 93-109",Melolontha afflicta,Steinernema bothynodera
216,1237,"Poinar, G. O., Jr., 1992. Nematodes associated with Scarabaeidae, in  Use of Pathogens in Scarab Pest Management (Jackson, T.A. & Glare, T.R., eds.) Intercept, Andover. pp 93-109",Amphimallon solstitialis,Steinernema georgica
217,1310,"Bathon, H., 1996. Impact of entomopathogenic nematodes on non-target hosts.  Biocontrol Science and technology 6: 421-434.",Eupeodes corollae,Steinernema feltiae
218,1310,"Bathon, H., 1996. Impact of entomopathogenic nematodes on non-target hosts.  Biocontrol Science and technology 6: 421-434.",Eupeodes corollae,Heterorhabditis bacteriophora
219,1310,"Bathon, H., 1996. Impact of entomopathogenic nematodes on non-target hosts.  Biocontrol Science and technology 6: 421-434.",Pterostichus cupreus,Heterorhabditis bacteriophora
220,1310,"Bathon, H., 1996. Impact of entomopathogenic nematodes on non-target hosts.  Biocontrol Science and technology 6: 421-434.",Pterostichus cupreus,Heterorhabditis bacteriophora
221,1310,"Bathon, H., 1996. Impact of entomopathogenic nematodes on non-target hosts.  Biocontrol Science and technology 6: 421-434.",Pterostichus cupreus,Heterorhabditis sp.
222,1310,"Bathon, H., 1996. Impact of entomopathogenic nematodes on non-target hosts.  Biocontrol Science and technology 6: 421-434.",Platynus dorsalis,Heterorhabditis sp.
223,1310,"Bathon, H., 1996. Impact of entomopathogenic nematodes on non-target hosts.  Biocontrol Science and technology 6: 421-434.",Eupeodes corollae,Heterorhabditis sp.
224,1310,"Bathon, H., 1996. Impact of entomopathogenic nematodes on non-target hosts.  Biocontrol Science and technology 6: 421-434.",Pterostichus cupreus,Steinernema feltiae
31,1310,"Bathon, H., 1996. Impact of entomopathogenic nematodes on non-target hosts.  Biocontrol Science and technology 6: 421-434.",Platynus dorsalis,Steinernema feltiae
33,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Bibio hortulana,Steinernema affinis
36,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Anomala dubia,Steinernema arenarium
37,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Anomala dubia,Steinernema arenarium
39,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Agriotes lineatus,Steinernema carpocapsae
40,1275,"Glaser, R. W., McCoy, E. E. and Girth, H. G., 1942.  The biology and culture of Neoaplectana chresima, a new nematode parasitic in insects.  J. Parasitol. 26: 49-495.",Popillia japonica,Steinernema carpocapsae
