ERNnem,refCode,Reference,Host,Nematode
230,1240,"Poinar, G. O., Jr., 1986. Recognition of Neoaplectana species.  Proceedings of the Helminthological Society of Washington 53: 121-129.",Rhagoletis pomonella,Steinernema carpocapsae
47,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Cydia pomonella,Steinernema carpocapsae
48,1240,"Poinar, G. O., Jr., 1986. Recognition of Neoaplectana species.  Proceedings of the Helminthological Society of Washington 53: 121-129.",Cydia pomonella,Steinernema carpocapsae
49,1240,"Poinar, G. O., Jr., 1986. Recognition of Neoaplectana species.  Proceedings of the Helminthological Society of Washington 53: 121-129.",Cydia pomonella,Steinernema carpocapsae
50,1249,"Weiser, J., 1955. Neoaplectana carpocapsae, n. sp. (Anguillaluata: Steinernematinae), novy cizopasník housenek obalece jablecného, Carpocapsa pomonnella L. Bestniik Ceskoslovenske Zoologické Spolecnosti 19: 44-51.",Cydia pomonella,Steinernema carpocapsae
51,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Cydia pomonella,Steinernema carpocapsae
52,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Cydia pomonella,Steinernema carpocapsae
53,1252,"Vinciguerra, M. T. and Tacconi, R., 1983. Variabilita morfologica di Neoaplectana carpocapsae Weiser, 1955 (Rhabditida, Nematoda) rinvenuta in larve di Laspeyresia pomonella (L.).  Bolletino del Instituto di Entomologia “Guido Grandi”, Universita di Bologna (Italy) 38:89-94.",Cydia pomonella,Steinernema carpocapsae
54,1283,"Jackson, G. J., 1965.  Differentiation of three species of Neoaplectana (Nematoda: Rhabditida), grown axenically.  Parasitol. 55: 571-578.",Cydia pomonella,Steinernema carpocapsae
55,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Agrotis segetum,Steinernema carpocapsae
225,1251,"Stanuszek, S., 1974b. Neoaplectana feltiae pieridarum n. ecotype (Nematoa: Rhabditoidea, Steinernematidae) – a parasite of Pieris brassicae L. and Mamestra brassicae L. in Poland: morphology and biology.  Zeszty Problemowe Postepów Nauk Rolniczych 154: 361-391.",Mamestra brassicae,Steinernema carpocapsae
56,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Helicoverpa armigera,Steinernema carpocapsae
226,1251,"Stanuszek, S., 1974b. Neoaplectana feltiae pieridarum n. ecotype (Nematoa: Rhabditoidea, Steinernematidae) – a parasite of Pieris brassicae L. and Mamestra brassicae L. in Poland: morphology and biology.  Zeszty Problemowe Postepów Nauk Rolniczych 154: 361-391.",Pieris brassicae,Steinernema carpocapsae
57,1239,"Poinar, G. O., Jr., 1979. Nematodes for Biological Control of Insects. CRC Press, Boca Raton, FL.",Vitacea polistiformis,Steinernema carpocapsae
58,1284,"Veremchuk, G. V., and Litvinchuk, L. N., 1971.  Nematodes of the genus Neoaplectana (Rhabditida: Steinernematidae) --parasites of the larch looper moth (Semiothisa pumila Kusn.) (Lepidoptera: Geometridae), pp. 92-95.  In New and little known species of the Siberian fauna.  Akad. Nauk SSR Novosibersk. (in Russian, English summary)",Semiothisa pumila,Steinernema carpocapsae
59,1303,"Stammer, H. J. and Wachek, F., 1952.  Ein neuer parasitischer Nematode, Carabonema hasei h.g. h.sp. (Carbonematidae n. fam.).  Zool. Anz. 148: 185-193",Pardileus calceatus,Steinernema feltiae
60,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Selatosomus melancholicus,Steinernema feltiae
61,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Pytho depressus,Steinernema feltiae
62,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Rhagium inquisitor,Steinernema feltiae
63,1239,"Poinar, G. O., Jr., 1979. Nematodes for Biological Control of Insects. CRC Press, Boca Raton, FL.",Amphimallon solstitialis,Steinernema feltiae
64,1237,"Poinar, G. O., Jr., 1992. Nematodes associated with Scarabaeidae, in  Use of Pathogens in Scarab Pest Management (Jackson, T.A. & Glare, T.R., eds.) Intercept, Andover. pp 93-109",Melolontha afflicta,Steinernema feltiae
65,1237,"Poinar, G. O., Jr., 1992. Nematodes associated with Scarabaeidae, in  Use of Pathogens in Scarab Pest Management (Jackson, T.A. & Glare, T.R., eds.) Intercept, Andover. pp 93-109",Onitis alexis,Steinernema feltiae
66,1237,"Poinar, G. O., Jr., 1992. Nematodes associated with Scarabaeidae, in  Use of Pathogens in Scarab Pest Management (Jackson, T.A. & Glare, T.R., eds.) Intercept, Andover. pp 93-109",Pentodon algerinum,Steinernema feltiae
67,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Capnodis tenebrionis,Steinernema feltiae
68,1285,"Wouts, W. M., 1980.  Biology, life cycle and re-description of Neoaplectana bibionis Bovien, 1937 (Nematoda: Steinernematidae).  J. Nematol. 12: 62-72.",Graphognathus leucoloma,Steinernema feltiae
69,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Otiorhynchus sulcatus,Steinernema feltiae
