"","HostOriginal","HostTaxID","HostNCBIResolved","HostGenus","HostFamily","HostOrder","HostClass","PathTaxID","PathNCBIResolved","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom","Group","HighTaxon","Host","HostStageTested","HostTissueInfected","interaction","LogMaxDose","LowTaxon","Pathogen","insectStatus"
"1","Phormia regina","7380",TRUE,"Phormia","Calliphoridae","Diptera","Insecta","753625",TRUE,"Octosporea",NA,NA,NA,"Fungi","Protozoa","Microspora","Phormia regina","","Midgut epithelium",1,NA,"Microsporea (Microsporida)","Octosporea muscaedomesticae","Pest"
"2","Camnula pellucida","37261",TRUE,"Camnula","Acrididae","Orthoptera","Insecta","278021",TRUE,"Antonospora",NA,NA,NA,"Fungi","Protozoa","Microspora","Camnula pellucida","AdultNymph","Fat body",1,NA,"Microsporea (Microsporida)","Nosema locustae","Pest"
"3","Ostrinia nubilalis","29057",TRUE,"Ostrinia","Crambidae","Lepidoptera","Insecta","33697",TRUE,"Nosema","Nosematidae",NA,NA,"Fungi","Protozoa","Microspora","Ostrinia nubilalis","EggLarvaAdultPupa","Malpighian tubules, silk glands, midgut; fat body; Muscle tissue.",1,NA,"Microsporea (Microsporida)","Nosema pyrausta","Pest"
"4","Anopheles gambiae","7165",TRUE,"Anopheles","Culicidae","Diptera","Insecta","103449",TRUE,"Vavraia","Pleistophoridae",NA,NA,"Fungi","Protozoa","Microspora","Anopheles gambiae","Larva","Malpighian tubules; fat body; intestine",1,NA,"Microsporea (Microsporida)","Vavraia culicis","Pest"
"5","Aedes cantator","329102",TRUE,"Ochlerotatus","Culicidae","Diptera","Insecta","67759",TRUE,"Amblyospora","Amblyosporidae",NA,NA,"Fungi","Protozoa","Microspora","Aedes cantator","LarvaAdult","",1,NA,"Microsporea (Microsporida)","Amblyospora connecticus","Pest"
"6","Hypera punctata","36758",TRUE,"Hypera","Curculionidae","Coleoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Hypera punctata","","",1,NA,"unknown","Nomuraea rileyi","Pest"
"7","Agrotis ipsilon","56364",TRUE,"Agrotis","Noctuidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Agrotis ipsilon","","",1,NA,"unknown","Nomuraea rileyi","Pest"
"8","Xestia badinodis",NA,FALSE,NA,NA,NA,NA,"1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Xestia badinodis","","",1,NA,"unknown","Nomuraea rileyi","Wildlife"
"9","Anticarsia gemmatalis","129554",TRUE,"Anticarsia","Erebidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Anticarsia gemmatalis","Larva","",1,NA,"unknown","Nomuraea rileyi","Pest"
"10","Chrysodeixis eriosoma","254718",TRUE,"Chrysodeixis","Noctuidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Chrysodeixis eriosoma","","",1,NA,"unknown","Nomuraea rileyi",NA
"11","Cosmia exigua",NA,FALSE,NA,NA,NA,NA,"1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Cosmia exigua","","",1,NA,"unknown","Nomuraea rileyi",NA
"12","Diaphania pyloalis","1242752",TRUE,"Glyphodes","Crambidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Diaphania pyloalis","","",1,NA,"unknown","Nomuraea rileyi","Pest"
"13","Helicoverpa armigera","29058",TRUE,"Helicoverpa","Noctuidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Helicoverpa armigera","","",1,NA,"unknown","Nomuraea rileyi","Pest"
"14","Helicoverpa zea","7113",TRUE,"Helicoverpa","Noctuidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Helicoverpa zea","Larva","",1,NA,"unknown","Nomuraea rileyi","Pest"
"15","Heliothis virescens","7102",TRUE,"Heliothis","Noctuidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Heliothis virescens","","",1,NA,"unknown","Nomuraea rileyi","Pest"
"16","Hyphantria cunea","39466",TRUE,"Hyphantria","Erebidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Hyphantria cunea","","",1,NA,"unknown","Nomuraea rileyi","Pest"
"17","Pseudaletia unipuncta","103831",TRUE,"Mythimna","Noctuidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Pseudaletia unipuncta","","",1,NA,"unknown","Nomuraea rileyi","Pest"
"18","Ostrinia nubilalis","29057",TRUE,"Ostrinia","Crambidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Ostrinia nubilalis","","",1,NA,"unknown","Nomuraea rileyi","Pest"
"19","Pieris rapae","64459",TRUE,"Pieris","Pieridae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Pieris rapae","","",1,NA,"unknown","Nomuraea rileyi","Pest"
"20","Hypena scabra","95219",TRUE,"Hypena","Erebidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Hypena scabra","","",1,NA,"unknown","Nomuraea rileyi","Pest"
"21","Pseudoplusia includens","689277",TRUE,"Chrysodeixis","Noctuidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Pseudoplusia includens","","",1,NA,"unknown","Nomuraea rileyi","Pest"
"22","Spodoptera exigua","7107",TRUE,"Spodoptera","Noctuidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Spodoptera exigua","","",1,NA,"unknown","Nomuraea rileyi","Pest"
"23","Spodoptera frugiperda","7108",TRUE,"Spodoptera","Noctuidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Spodoptera frugiperda","Larva","",1,NA,"unknown","Nomuraea rileyi","Pest"
"24","Spodoptera littoralis","7109",TRUE,"Spodoptera","Noctuidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Spodoptera littoralis","Larva","",1,NA,"unknown","Nomuraea rileyi","Pest"
"25","Spodoptera litura","69820",TRUE,"Spodoptera","Noctuidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Spodoptera litura","","",1,NA,"unknown","Nomuraea rileyi","Pest"
"26","Spodoptera ornithogalli","42029",TRUE,"Spodoptera","Noctuidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Spodoptera ornithogalli","","",1,NA,"unknown","Nomuraea rileyi","Pest"
"27","Trichoplusia ni","7111",TRUE,"Trichoplusia","Noctuidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Trichoplusia ni","","",1,NA,"unknown","Nomuraea rileyi","Pest"
"28","Blaps mortisaga",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Blaps mortisaga","","Intestinal epithelium",1,NA,"Microsporea (Minisporida)","Chytridiopsis socius",NA
"29","Helodes minutes",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Helodes minutes","","Intestinal epithelium",1,NA,"Microsporea (Minisporida)","Chytridiopsis aquaticus",NA
"30","Diaperis boleti","433215",TRUE,"Diaperis","Tenebrionidae","Coleoptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Diaperis boleti","","Intestinal epithelium",1,NA,"Microsporea (Minisporida)","Chytridiopsis clerci",NA
"31","Ips typographus","55986",TRUE,"Ips","Curculionidae","Coleoptera","Insecta","2293873",TRUE,"Chytridiopsis","Chytridiopsidae",NA,NA,"Fungi","Protozoa","Microspora","Ips typographus","","Midgut epithelium",1,NA,"Microsporea (Minisporida)","Chytridiopsis typographi",NA
"32","Sciara sp.","82677",TRUE,"Sciara","Sciaridae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Sciara sp.","","Gut epithelium of larva",1,NA,"Microsporea (Minisporida)","Hessea squamosa",NA
"33","Blatta orientalis","6976",TRUE,"Blatta","Blattidae","Blattodea","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Blatta orientalis","","Fat  body",1,NA,"Microsporea (Microsporida)","Pleistophora blattae","Pest"
"34","Blattella germanica","6973",TRUE,"Blattella","Ectobiidae","Blattodea","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Blattella germanica","","Fat body",1,NA,"Microsporea (Microsporida)","Pleistophora blattae","Pest"
"35","Cloeon rufulum",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Cloeon rufulum","Larva","",1,NA,"Microsporea (Microsporida)","Pleistophora bohemica","Wildlife"
"36","Culiseta inornata","704160",TRUE,"Culiseta","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Culiseta inornata","EggLarvaPupaAdult","Caeca, midgut",1,NA,"Microsporea (Microsporida)","Pleistophora caecorum","Pest"
"37","Phthorimaea operculella","192464",TRUE,"Phthorimaea","Gelechiidae","Lepidoptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Phthorimaea operculella","Larva","Fat body; Malpighian tubules; ",1,NA,"Microsporea (Microsporida)","Pleistophora californica","Pest"
"38","Centroptilum luteolum","197150",TRUE,"Centroptilum","Baetidae","Ephemeroptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Centroptilum luteolum","","Fat body",1,NA,"Microsporea (Microsporida)","Pleistophora centroptili","Wildlife"
"39","Cloeon dipterum","197152",TRUE,"Cloeon","Baetidae","Ephemeroptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Cloeon dipterum","","Fat body",1,NA,"Microsporea (Microsporida)","Pleistophora centroptili","Wildlife"
"40","Chaoborus crystallinus ","41813",TRUE,"Chaoborus","Chaoboridae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Chaoborus crystallinus","","Under the gut; epidermis; hemocytes",1,NA,"Microsporea (Microsporida)","Systenostrema corethrae",NA
"41","Chironomus sp.",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Chironomus sp.","","Fat body",1,NA,"Microsporea (Microsporida)","Pleistophora spraguei",NA
"42","Camptochironomus tentans",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Camptochironomus tentans","","Fat body",1,NA,"Microsporea (Microsporida)","Pleistophora spraguei",NA
"43","Culex tritaeniorhynchus","7178",TRUE,"Culex","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Culex tritaeniorhynchus","Adult","Egg follicle; Ovaries",1,NA,"Microsporea (Microsporida)","Pleistophora collessi","Pest"
"44","Culex gelidus","308713",TRUE,"Culex","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Culex gelidus","LarvaAdult","Egg follicle, Ovaries; Gut",1,NA,"Microsporea (Microsporida)","Pleistophora collessi","Pest"
"45","Anopheles gambiae","7165",TRUE,"Anopheles","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Anopheles gambiae","","Midgut; Malpighian tubules; Gut; fat body; connective tissue",1,NA,"Microsporea (Microsporida)","Pleistophora culicis","Pest"
"46","Anopheles stephensi","30069",TRUE,"Anopheles","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Anopheles stephensi","","Gut; fat body; Connective tissue; Salivary glands; Ovaries; Malpighian tubules; Midgut; Muscle; Nerve ganglia",1,NA,"Microsporea (Microsporida)","Pleistophora culicis","Pest"
"47","Anopheles albimanus","7167",TRUE,"Anopheles","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Anopheles albimanus","","Gut; fat body; connective tissue; Malpighian tubules",1,NA,"Microsporea (Microsporida)","Pleistophora culicis","Pest"
"48","Culiseta longiareolata","1206072",TRUE,"Culiseta","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Culiseta longiareolata","LarvaPupaAdult","Gut; fat body; connective tissue; nerves; muscle; gut wall; nerve ganglia",1,NA,"Microsporea (Microsporida)","Pleistophora culicis",NA
"49","Aedes aegypti","7159",TRUE,"Aedes","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Aedes aegypti","","Gut; fat body; connective tissue",1,NA,"Microsporea (Microsporida)","Pleistophora culicis","Pest"
"50","Aedes triseriatus","7162",TRUE,"Ochlerotatus","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Aedes triseriatus","Larva","Gut; fat body; connective tissue",1,NA,"Microsporea (Microsporida)","Pleistophora culicis","Pest"
"51","Anopheles dureni","2748953",TRUE,"Anopheles","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Anopheles dureni","LarvaAdult","Gut; fat body; connective tissue",1,NA,"Microsporea (Microsporida)","Pleistophora culicis",NA
"52","Anopheles pseudopunctipennis franciscanus",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Anopheles pseudopunctipennis franciscanus","","Gut; fat body; connective tissue",1,NA,"Microsporea (Microsporida)","Pleistophora culicis","Pest"
"53","Culex salinarius","38743",TRUE,"Culex","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Culex salinarius","Larva","Gut; fat body; connective tissue",1,NA,"Microsporea (Microsporida)","Pleistophora culicis","Pest"
"54","Culex territans","42431",TRUE,"Culex","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Culex territans","Larva","Gut; fat body; connective tissue",1,NA,"Microsporea (Microsporida)","Pleistophora culicis","Pest"
"55","Bacillus rossius","75184",TRUE,"Bacillus","Bacillidae","Phasmatodea","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Bacillus rossius","","Ovaries",1,NA,"Microsporea (Microsporida)","Pleistophora dixipi",NA
"56","Bibio varipes",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Bibio varipes","","Intestinal caeca",1,NA,"Microsporea (Microsporida)","Pleistophora enterobia",NA
"57","Geotrupes stercorarius","166345",TRUE,"Geotrupes","Geotrupidae","Coleoptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Geotrupes stercorarius","","Fat body; intestine; malpighian tubules",1,NA,"Microsporea (Microsporida)","Pleistophora geotrupina","Wildlife"
"58","Geotrupes vernalis",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Geotrupes vernalis","","Fat body; intestine; malpighian tubules",1,NA,"Microsporea (Microsporida)","Pleistophora geotrupina",NA
"59","Prochironomus anomalus",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Prochironomus anomalus","","Fat body",1,NA,"Microsporea (Microsporida)","Pleistophora jiroveci",NA
"60","Blatta orientalis","6976",TRUE,"Blatta","Blattidae","Blattodea","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Blatta orientalis","","Midgut, caeca (epithelial cells)",1,NA,"Microsporea (Microsporida)","Pleistophora kudoi","Pest"
"61","Simulium ornatum","304233",TRUE,"Simulium","Simuliidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Simulium ornatum","","Fat body",1,NA,"Microsporea (Microsporida)","Pleistophora leasei","Pest"
"62","Simulium venustum","7194",TRUE,"Simulium","Simuliidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Simulium venustum","","Body cavity",1,NA,"Microsporea (Microsporida)","Pleistophora lutzi",NA
"63","Simulium ochraceum","1452912",TRUE,"Simulium","Simuliidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Simulium ochraceum","","Body cavity",1,NA,"Microsporea (Microsporida)","Pleistophora lutzi","Pest"
"64","Maorigoeldia argyropa",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Maorigoeldia argyropa","Larva","Fat body; Head capsule; anal gills",1,NA,"Microsporea (Microsporida)","Pleistophora milesi",NA
"65","Mochlonyx velutinus","2516900",TRUE,"Mochlonyx","Chaoboridae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Mochlonyx velutinus","","Epidermis, adipose tissue (of all segments)",1,NA,"Microsporea (Microsporida)","Pleistophora mochlonicis",NA
"66","Simulium vittatum","7192",TRUE,"Simulium","Simuliidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Simulium vittatum","","Fat body",1,NA,"Microsporea (Microsporida)","Pleistophora multispora",NA
"67","Malacosoma disstria","40071",TRUE,"Malacosoma","Lasiocampidae","Lepidoptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Malacosoma disstria","","fat body; Malpighian tubules",1,NA,"Microsporea (Microsporida)","Pleistophora neustriae","Pest"
"68","Operophtera brumata","104452",TRUE,"Operophtera","Geometridae","Lepidoptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Operophtera brumata","EggLarvaAdult","Salivary glands; gut; fat body; muscle; malpighian tubules",1,NA,"Microsporea (Microsporida)","Pleistophora operophterae","Pest"
"69","Mochlonyx velutinus","2516900",TRUE,"Mochlonyx","Chaoboridae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Mochlonyx velutinus","","Epidermis; fat body; tracheae; gut; Malpighian tubules; male gonads",1,NA,"Microsporea (Microsporida)","Pleistophora ovalis",NA
"70","Chloroperla sp.","466661",TRUE,"Chloroperla","Chloroperlidae","Plecoptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Chloroperla sp.","","",1,NA,"Microsporea (Microsporida)","Pleistophora plectopterae",NA
"71","Ascotis selenaria reciprocaria",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Ascotis selenaria reciprocaria","","Fat body; tracheae; malpighian tubules",1,NA,"Microsporea (Microsporida)","Pleistophora reciprocaria","Pest"
"72","Simulium venustum","7194",TRUE,"Simulium","Simuliidae","Diptera","Insecta","103456",TRUE,"Polydispyrenia",NA,NA,NA,"Fungi","Protozoa","Microspora","Simulium venustum","","Fat body",1,NA,"Microsporea (Microsporida)","Pleistophora simulii",NA
"73","Simulium ochraceum","1452912",TRUE,"Simulium","Simuliidae","Diptera","Insecta","103456",TRUE,"Polydispyrenia",NA,NA,NA,"Fungi","Protozoa","Microspora","Simulium ochraceum","","Fat body",1,NA,"Microsporea (Microsporida)","Pleistophora simulii","Pest"
"74","Simulium aureum","630741",TRUE,"Simulium","Simuliidae","Diptera","Insecta","103456",TRUE,"Polydispyrenia",NA,NA,NA,"Fungi","Protozoa","Microspora","Simulium aureum","","Fat body",1,NA,"Microsporea (Microsporida)","Pleistophora simulii","Pest"
"75","Simulium bezzii","1419335",TRUE,NA,"Curculionidae","Coleoptera","Insecta","103456",TRUE,"Polydispyrenia",NA,NA,NA,"Fungi","Protozoa","Microspora","Simulium bezzii","","Fat body",1,NA,"Microsporea (Microsporida)","Pleistophora simulii",NA
"76","Chironomus sp.",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Chironomus sp.","","Gut",1,NA,"Microsporea (Microsporida)","Pleistophora thienemanni",NA
"77","Simulium ornatum","304233",TRUE,"Simulium","Simuliidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Simulium ornatum","","Fat body",1,NA,"Microsporea (Microsporida)","Pleistophora tillingbournei","Pest"
"78","Baetis rhodani","189839",TRUE,"Baetis","Baetidae","Ephemeroptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Baetis rhodani","","Fat body",1,NA,"Microsporea (Microsporida)","Pleistophora vayssierei","Wildlife"
"79","Euborellia plebeja","146845",TRUE,"Euborellia","Anisolabididae","Dermaptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Euborellia plebeja","","Malpighian tubules",1,NA,"Microsporea (Microsporida)","Pleistophora waltairensis",NA
"80","Culicoides sp.",NA,FALSE,NA,NA,NA,NA,"35234",TRUE,"Pleistophora","Pleistophoridae",NA,NA,"Fungi","Protozoa","Microspora","Culicoides sp.","","",1,NA,"Microsporea (Microsporida)","Pleistophora sp.",NA
"81","Orthopodomyia signifera","665339",TRUE,"Orthopodomyia","Culicidae","Diptera","Insecta","35234",TRUE,"Pleistophora","Pleistophoridae",NA,NA,"Fungi","Protozoa","Microspora","Orthopodomyia signifera","Larva","fat body",1,NA,"Microsporea (Microsporida)","Pleistophora sp.","Wildlife"
"82","Aedes vexans","7163",TRUE,"Aedes","Culicidae","Diptera","Insecta","35234",TRUE,"Pleistophora","Pleistophoridae",NA,NA,"Fungi","Protozoa","Microspora","Aedes vexans","Larva","Gastric caeca",1,NA,"Microsporea (Microsporida)","Pleistophora sp.","Pest"
"83","Aedes canadensis","228917",TRUE,"Ochlerotatus","Culicidae","Diptera","Insecta","35234",TRUE,"Pleistophora","Pleistophoridae",NA,NA,"Fungi","Protozoa","Microspora","Aedes canadensis","Larva","Gastric caeca",1,NA,"Microsporea (Microsporida)","Pleistophora sp.","Pest"
"84","Toxorhynchites rutilus septentrionalis","53553",TRUE,"Toxorhynchites","Culicidae","Diptera","Insecta","35234",TRUE,"Pleistophora","Pleistophoridae",NA,NA,"Fungi","Protozoa","Microspora","Toxorhynchites rutilus septentrionalis","Larva","fat body",1,NA,"Microsporea (Microsporida)","Pleistophora sp.","Wildlife"
"85","Corethrella brakeleyi","2203728",TRUE,"Corethrella","Chaoboridae","Diptera","Insecta","35234",TRUE,"Pleistophora","Pleistophoridae",NA,NA,"Fungi","Protozoa","Microspora","Corethrella brakeleyi","","",1,NA,"Microsporea (Microsporida)","Pleistophora sp.",NA
"86","Reticulitermes lucifugus  ","127386",TRUE,"Reticulitermes","Rhinotermitidae","Blattodea","Insecta","35234",TRUE,"Pleistophora","Pleistophoridae",NA,NA,"Fungi","Protozoa","Microspora","Reticulitermes lucifugus","","Malpighian tubules",1,NA,"Microsporea (Microsporida)","Pleistophora sp.",NA
"87","Thaumetopoea processionea","499230",TRUE,"Thaumetopoea","Notodontidae","Lepidoptera","Insecta","35234",TRUE,"Pleistophora","Pleistophoridae",NA,NA,"Fungi","Protozoa","Microspora","Thaumetopoea processionea","","",1,NA,"Microsporea (Microsporida)","Pleistophora sp.",NA
"88","Amyelois transitella","680683",TRUE,"Amyelois","Pyralidae","Lepidoptera","Insecta","35234",TRUE,"Pleistophora","Pleistophoridae",NA,NA,"Fungi","Protozoa","Microspora","Amyelois transitella","","Fat body; silk glands; midgut",1,NA,"Microsporea (Microsporida)","Pleistophora sp.","Pest"
"89","Aedes sierrensis","1205942",TRUE,"Ochlerotatus","Culicidae","Diptera","Insecta","35234",TRUE,"Pleistophora","Pleistophoridae",NA,NA,"Fungi","Protozoa","Microspora","Aedes sierrensis","Larva","Midgut;  Malpighian tubules (rarely) and Gastric Caeca (rarely)",1,NA,"Microsporea (Microsporida)","Pleistophora sp.","Wildlife"
"90","Aletia oxygala luteopallens",NA,FALSE,NA,NA,NA,NA,"35234",TRUE,"Pleistophora","Pleistophoridae",NA,NA,"Fungi","Protozoa","Microspora","Aletia oxygala luteopallens","","Midgut",1,NA,"Microsporea (Microsporida)","Pleistophora sp.","Wildlife"
"91","Ephemera danica","1049336",TRUE,"Ephemera","Ephemeridae","Ephemeroptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Ephemera danica","","Adipose tissue (of nymph)",1,NA,"Microsporea (Microsporida)","Mitoplistophora angularis","Wildlife"
"92","Reticulitermes flavipes","36989",TRUE,"Reticulitermes","Rhinotermitidae","Blattodea","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Reticulitermes flavipes","","Adipose tissue (attached to midgut)",1,NA,"Microsporea (Microsporida)","Duboscqia legeri","Pest"
"93","Chironomus plumosus","33397",TRUE,"Chironomus","Chironomidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Chironomus plumosus","","Fat body",1,NA,"Microsporea (Microsporida)","Duboscqia chironomi",NA
"94","Coptotermes heimi","282472",TRUE,"Coptotermes","Rhinotermitidae","Blattodea","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Coptotermes heimi","","Midgut",1,NA,"Microsporea (Microsporida)","Duboscqia coptotermi",NA
"95","Epeorus torrentium",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Epeorus torrentium","","Adipose tissue (of larva).",1,NA,"Microsporea (Microsporida)","Trichoduboscqia epeori","Wildlife"
"96","Rhithrogena semicolorata","1351858",TRUE,"Rhithrogena","Heptageniidae","Ephemeroptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Rhithrogena semicolorata","","fat body",1,NA,"Microsporea (Microsporida)","Trichoduboscqia epeori","Wildlife"
"97","Argyresthia conjugella","687015",TRUE,"Argyresthia","Argyresthiidae","Lepidoptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Argyresthia conjugella","","fat body",1,NA,"Microsporea (Microsporida)","Thelohania argyresthiae","Pest"
