"","HostOriginal","HostTaxID","HostNCBIResolved","HostGenus","HostFamily","HostOrder","HostClass","PathTaxID","PathNCBIResolved","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom","Group","HighTaxon","Host","HostStageTested","HostTissueInfected","interaction","LogMaxDose","LowTaxon","Pathogen","insectStatus"
"4809","Parapediasia teterrella","721902",TRUE,"Parapediasia","Crambidae","Lepidoptera","Insecta","72222",TRUE,"Thelohania","Thelohaniidae",NA,NA,"Fungi","Protozoa","Microspora","Parapediasia teterrella","","Fat body; silk glands; midgut; Malpighian tubules; meconia",1,NA,"Microsporea (Microsporida)","Thelohania sp.",NA
"4810","Mythimna unipunctata",NA,FALSE,NA,NA,NA,NA,"72222",TRUE,"Thelohania","Thelohaniidae",NA,NA,"Fungi","Protozoa","Microspora","Mythimna unipunctata","Larva","",1,NA,"Microsporea (Microsporida)","Thelohania sp.",NA
"4811","Euproctis chrysorrhoea","987934",TRUE,"Euproctis","Erebidae","Lepidoptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Euproctis chrysorrhoea","","Fat body",1,NA,"Microsporea (Microsporida)","Microsporidium hyphantriae","Pest"
"4812","Hyphantria cunea","39466",TRUE,"Hyphantria","Erebidae","Lepidoptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Hyphantria cunea","Larva","Midgut muscle; Tracheae; Malpighian tubules",1,NA,"Microsporea (Microsporida)","Nosema muscularis","Pest"
"4813","Yponomeuta malinellus","33466",TRUE,"Yponomeuta","Yponomeutidae","Lepidoptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Yponomeuta malinellus","","Fat body",1,NA,"Microsporea (Microsporida)","Microsporidium hyphantriae","Pest"
"4814","Malacosoma neustria","7098",TRUE,"Malacosoma","Lasiocampidae","Lepidoptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Malacosoma neustria","","Fat body",1,NA,"Microsporea (Microsporida)","Microsporidium hyphantriae","Pest"
"4815","Nygmia phaeorrhoea",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Nygmia phaeorrhoea","","Fat body",1,NA,"Microsporea (Microsporida)","Microsporidium hyphantriae",NA
"4816","Yponomeuta malinellus","33466",TRUE,"Yponomeuta","Yponomeutidae","Lepidoptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Yponomeuta malinellus","","fat body; Malpighian tubules, midgut",1,NA,"Microsporea (Microsporida)","Pleistophora neustriae","Pest"
"4817","Lymantria dispar","13123",TRUE,"Lymantria","Erebidae","Lepidoptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Lymantria dispar","","fat body; Malpighian tubules, midgut",1,NA,"Microsporea (Microsporida)","Pleistophora neustriae","Pest"
"4818","Nygmia phaeorrhoea",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Nygmia phaeorrhoea","Larva","Midgut muscle; Tracheae; Malpighian tubules",1,NA,"Microsporea (Microsporida)","Nosema muscularis",NA
"4819","Papilio pompejus",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Papilio pompejus","","",1,NA,"Microsporea (Microsporida)","Nosema junonis",NA
"4820","Goniozus emigratus",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Goniozus emigratus","","Fat body, malpighian tubules, and most other tissues.",1,NA,"Microsporea (Microsporida)","Pleistophora californica",NA
