"","presence","Host","Pathogen","Order","Family","StageInfected","TissueInfected","FieldOrLab","Country","AssociatedBacterium","IntermediateHost"
"1",1,"Bibio ferruginatus","Steinernema affinis","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Denmark","Xenorhabdus bovienii","none"
"2",1,"Bibio hortulana","Steinernema affinis","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Denmark","Xenorhabdus bovienii","none"
"3",1,"Dilophus vulgaris","Steinernema affinis","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Denmark","Xenorhabdus bovienii","none"
"4",1,"Helina duplicata","Steinernema affinis","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Germany","Xenorhabdus bovienii","none"
"5",1,"Anomala dubia","Steinernema arenarium","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Russia","Xenorhabdus sp.","none"
"6",1,"Anomala dubia","Steinernema arenarium","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Russia","Xenorhabdus sp.","none"
"7",1,"Melolontha hippocastani","Steinernema arenarium","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Russia","Xenorhabdus sp.","none"
"8",1,"Agriotes lineatus","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Russia","Xenorhabdus nematophilus","none"
"9",1,"Popillia japonica","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","USA","Xenorhabdus nematophilus","none"
"10",1,"Popillia japonica","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","USA","Xenorhabdus nematophilus","none"
"11",1,"Graphognathus leucoloma","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Argentina","Xenorhabdus nematophilus","none"
"12",1,"Otiorhynchus sulcatus","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","France","Xenorhabdus nematophilus","none"
"13",1,"Cleonis mendicus","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Italy","Xenorhabdus nematophilus","none"
"14",1,"Hylobius pales","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Sweden","Xenorhabdus nematophilus","none"
"15",1,"Vespula sp.","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Tasmania","Xenorhabdus nematophilus","none"
"16",1,"Cephalcia lariciphila","Steinernema carpocapsae","Rhabditida","Steinernematidae","Pupa","Hemocoel","Field","United Kingdom","Xenorhabdus nematophilus","none"
"17",1,"Rhagoletis pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Pupa","Hemocoel","Field","USA","Xenorhabdus nematophilus","none"
"18",1,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","USA","Xenorhabdus nematophilus","none"
"19",1,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","USA","Xenorhabdus nematophilus","none"
"20",1,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Mexico","Xenorhabdus nematophilus","none"
"21",1,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Czech Republic","Xenorhabdus nematophilus","none"
"22",1,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Poland","Xenorhabdus nematophilus","none"
"23",1,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Poland, Italy","Xenorhabdus nematophilus","none"
"24",1,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Italy","Xenorhabdus nematophilus","none"
"25",1,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","","Xenorhabdus nematophilus","none"
"26",1,"Agrotis segetum","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Poland","Xenorhabdus nematophilus","none"
"27",1,"Mamestra brassicae","Steinernema carpocapsae","Rhabditida","Steinernematidae","LarvaPupa","Hemocoel","Field","Poland","Xenorhabdus nematophilus","none"
"28",1,"Helicoverpa armigera","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","USA","Xenorhabdus nematophilus","none"
"29",1,"Pieris brassicae","Steinernema carpocapsae","Rhabditida","Steinernematidae","LarvaPupa","Hemocoel","Field","Poland","Xenorhabdus nematophilus","none"
"30",1,"Vitacea polistiformis","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","USA","Xenorhabdus nematophilus","none"
"31",1,"Semiothisa pumila","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","","Xenorhabdus nematophilus","none"
