"","presence","Host","Pathogen","HighTaxon","LowTaxon","LogMaxDose","HostStageTested","HostTissueInfected"
"33",1,"Blatta orientalis","Pleistophora blattae","Microspora","Microsporea (Microsporida)",NA,NA,"Fat  body"
"34",1,"Blattella germanica","Pleistophora blattae","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"35",1,"Cloeon rufulum","Pleistophora bohemica","Microspora","Microsporea (Microsporida)",NA,NA,""
"36",1,"Culiseta inornata","Pleistophora caecorum","Microspora","Microsporea (Microsporida)",NA,NA,"Caeca, midgut"
"37",1,"Phthorimaea operculella","Pleistophora californica","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body; Malpighian tubules; "
"38",1,"Centroptilum luteolum","Pleistophora centroptili","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"39",1,"Cloeon dipterum","Pleistophora centroptili","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"40",1,"Chaoborus crystallinus ","Systenostrema corethrae","Microspora","Microsporea (Microsporida)",NA,NA,"Under the gut; epidermis; hemocytes"
"41",1,"Chironomus sp.","Pleistophora spraguei","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"42",1,"Camptochironomus tentans","Pleistophora spraguei","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"43",1,"Culex tritaeniorhynchus","Pleistophora collessi","Microspora","Microsporea (Microsporida)",NA,NA,"Egg follicle; Ovaries"
"44",1,"Culex gelidus","Pleistophora collessi","Microspora","Microsporea (Microsporida)",NA,NA,"Egg follicle, Ovaries; Gut"
"45",1,"Anopheles gambiae","Pleistophora culicis","Microspora","Microsporea (Microsporida)",NA,NA,"Midgut; Malpighian tubules; Gut; fat body; connective tissue"
"46",1,"Anopheles stephensi","Pleistophora culicis","Microspora","Microsporea (Microsporida)",NA,NA,"Gut; fat body; Connective tissue; Salivary glands; Ovaries; Malpighian tubules; Midgut; Muscle; Nerve ganglia"
"47",1,"Anopheles albimanus","Pleistophora culicis","Microspora","Microsporea (Microsporida)",NA,NA,"Gut; fat body; connective tissue; Malpighian tubules"
"48",1,"Culiseta longiareolata","Pleistophora culicis","Microspora","Microsporea (Microsporida)",NA,NA,"Gut; fat body; connective tissue; nerves; muscle; gut wall; nerve ganglia"
"49",1,"Aedes aegypti","Pleistophora culicis","Microspora","Microsporea (Microsporida)",NA,NA,"Gut; fat body; connective tissue"
"50",1,"Aedes triseriatus","Pleistophora culicis","Microspora","Microsporea (Microsporida)",NA,NA,"Gut; fat body; connective tissue"
"51",1,"Anopheles dureni","Pleistophora culicis","Microspora","Microsporea (Microsporida)",NA,NA,"Gut; fat body; connective tissue"
"52",1,"Anopheles pseudopunctipennis franciscanus","Pleistophora culicis","Microspora","Microsporea (Microsporida)",NA,NA,"Gut; fat body; connective tissue"
"53",1,"Culex salinarius","Pleistophora culicis","Microspora","Microsporea (Microsporida)",NA,NA,"Gut; fat body; connective tissue"
"54",1,"Culex territans","Pleistophora culicis","Microspora","Microsporea (Microsporida)",NA,NA,"Gut; fat body; connective tissue"
"55",1,"Bacillus rossius","Pleistophora dixipi","Microspora","Microsporea (Microsporida)",NA,NA,"Ovaries"
"56",1,"Bibio varipes","Pleistophora enterobia","Microspora","Microsporea (Microsporida)",NA,NA,"Intestinal caeca"
"57",1,"Geotrupes stercorarius","Pleistophora geotrupina","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body; intestine; malpighian tubules"
"58",1,"Geotrupes vernalis","Pleistophora geotrupina","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body; intestine; malpighian tubules"
"59",1,"Prochironomus anomalus","Pleistophora jiroveci","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"60",1,"Blatta orientalis","Pleistophora kudoi","Microspora","Microsporea (Microsporida)",NA,NA,"Midgut, caeca (epithelial cells)"
"61",1,"Simulium ornatum","Pleistophora leasei","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"62",1,"Simulium venustum","Pleistophora lutzi","Microspora","Microsporea (Microsporida)",NA,NA,"Body cavity"
"63",1,"Simulium ochraceum","Pleistophora lutzi","Microspora","Microsporea (Microsporida)",NA,NA,"Body cavity"
"64",1,"Maorigoeldia argyropa","Pleistophora milesi","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body; Head capsule; anal gills"
"65",1,"Mochlonyx velutinus","Pleistophora mochlonicis","Microspora","Microsporea (Microsporida)",NA,NA,"Epidermis, adipose tissue (of all segments)"
"66",1,"Simulium vittatum","Pleistophora multispora","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"67",1,"Malacosoma disstria","Pleistophora neustriae","Microspora","Microsporea (Microsporida)",NA,NA,"fat body; Malpighian tubules"
"68",1,"Operophtera brumata","Pleistophora operophterae","Microspora","Microsporea (Microsporida)",NA,NA,"Salivary glands; gut; fat body; muscle; malpighian tubules"
"69",1,"Mochlonyx velutinus","Pleistophora ovalis","Microspora","Microsporea (Microsporida)",NA,NA,"Epidermis; fat body; tracheae; gut; Malpighian tubules; male gonads"
"70",1,"Chloroperla sp.","Pleistophora plectopterae","Microspora","Microsporea (Microsporida)",NA,NA,""
"71",1,"Ascotis selenaria reciprocaria","Pleistophora reciprocaria","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body; tracheae; malpighian tubules"
"72",1,"Simulium venustum","Pleistophora simulii","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"73",1,"Simulium ochraceum","Pleistophora simulii","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"74",1,"Simulium aureum","Pleistophora simulii","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"75",1,"Simulium bezzii","Pleistophora simulii","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"76",1,"Chironomus sp.","Pleistophora thienemanni","Microspora","Microsporea (Microsporida)",NA,NA,"Gut"
"77",1,"Simulium ornatum","Pleistophora tillingbournei","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"78",1,"Baetis rhodani","Pleistophora vayssierei","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"79",1,"Euborellia plebeja","Pleistophora waltairensis","Microspora","Microsporea (Microsporida)",NA,NA,"Malpighian tubules"
"80",1,"Culicoides sp.","Pleistophora sp.","Microspora","Microsporea (Microsporida)",NA,NA,""
"81",1,"Orthopodomyia signifera","Pleistophora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"82",1,"Aedes vexans","Pleistophora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Gastric caeca"
"83",1,"Aedes canadensis","Pleistophora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Gastric caeca"
"84",1,"Toxorhynchites rutilus septentrionalis","Pleistophora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"85",1,"Corethrella brakeleyi","Pleistophora sp.","Microspora","Microsporea (Microsporida)",NA,NA,""
"86",1,"Reticulitermes lucifugus  ","Pleistophora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Malpighian tubules"
"87",1,"Thaumetopoea processionea","Pleistophora sp.","Microspora","Microsporea (Microsporida)",NA,NA,""
"88",1,"Amyelois transitella","Pleistophora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body; silk glands; midgut"
"89",1,"Aedes sierrensis","Pleistophora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Midgut;  Malpighian tubules (rarely) and Gastric Caeca (rarely)"
"90",1,"Aletia oxygala luteopallens","Pleistophora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Midgut"
"91",1,"Ephemera danica","Mitoplistophora angularis","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue (of nymph)"
"92",1,"Reticulitermes flavipes","Duboscqia legeri","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue (attached to midgut)"
"93",1,"Chironomus plumosus","Duboscqia chironomi ","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"94",1,"Coptotermes heimi","Duboscqia coptotermi","Microspora","Microsporea (Microsporida)",NA,NA,"Midgut"
"95",1,"Epeorus torrentium","Trichoduboscqia epeori","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue (of larva)."
"96",1,"Rhithrogena semicolorata","Trichoduboscqia epeori    ","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"97",1,"Argyresthia conjugella","Thelohania argyresthiae","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"98",1,"Endochironomus nynchoides","Thelohania asterias","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"99",1,"Simulium ornatum","Thelohania avacuolata","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"100",1,"Baetis pygmata","Thelohania baetica","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"101",1,"Simulium ornatum","Thelohania bertrami","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"102",1,"Chironomus riparius","Thelohania breindli","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"103",1,"Simulium ornatum","Thelohania canningae","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"104",1,"Omophlus rugisicollis","Thelohania cepedei","Microspora","Microsporea (Microsporida)",NA,NA,"Malpighian tubules"
"105",1,"Simulium reptans columbaczense","Thelohania columbaczense","Microspora","Microsporea (Microsporida)",NA,NA,"fat body; Lymphocytes"
"106",1,"Chaoborus plumicornis","Systenostrema corethrae","Microspora","Microsporea (Microsporida)",NA,NA,"Oenocytes"
"107",1,"Chaoborus flavicans","Systenostrema corethrae","Microspora","Microsporea (Microsporida)",NA,NA,""
"108",1,"Chaoborus astictopus","Systenostrema corethrae","Microspora","Microsporea (Microsporida)",NA,NA,""
"109",1,"Calliteara pudibunda","Thelohania dasychirae","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"110",1,"Trichocladius sp.","Amblyospora debaisieuxi","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"111",1,"Diamesa thienamanni","Amblyospora debaisieuxi","Microspora","Microsporea (Microsporida)",NA,NA,""
"112",1,"Lymantria dispar","Thelohania disparis","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"113",1,"Simulium aureum","Thelohania fibrata","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"114",1,"Simulium hirtipes","Thelohania fibrata","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"115",1,"Simulium maculatum","Thelohania fibrata","Microspora","Microsporea (Microsporida)",NA,NA,""
"116",1,"Simulium venustum","Thelohania fibrata","Microspora","Microsporea (Microsporida)",NA,NA,""
"117",1,"Simulium ochraceum","Thelohania fibrata","Microspora","Microsporea (Microsporida)",NA,NA,""
"118",1,"Anopheles maculipennis","Thelohania grassii","Microspora","Microsporea (Microsporida)",NA,NA,""
"119",1,"Tanytarsus sp.","Thelohania hessei","Microspora","Microsporea (Microsporida)",NA,NA,"Gut"
"120",1,"Limnephilus rhombicus","Thelohania janus","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"121",1,"Simulium ornatum","Thelohania minispora","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"122",1,"Plodia interpunctella ","Vairimorpha plodiae","Microspora","Microsporea (Microsporida)",NA,NA,"fat body; muscle (rarely)"
"123",1,"Amyelois transitella","Vairimorpha plodiae","Microspora","Microsporea (Microsporida)",NA,NA,"fat body; muscle (rarely)"
"124",1,"Tanypus varius","Thelohania pinguis","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"125",1,"Plectrocnemia geniculata","Thelohania plectrocnemiae","Microspora","Microsporea (Microsporida)",NA,NA,""
"126",1,"Pristiphora erichsonii","Cystosporogenes pristiphorae ","Microspora","Microsporea (Microsporida)",NA,NA,"Hypodermis"
"127",1,"Malacosoma disstria","Cystosporogenes pristiphorae ","Microspora","Microsporea (Microsporida)",NA,NA,""
"128",1,"Malacosoma americanum","Cystosporogenes pristiphorae ","Microspora","Microsporea (Microsporida)",NA,NA,""
"129",1,"Rhithrogena hybrida","Thelohania rhithrogenae","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"130",1,"Simulium ornatum","Thelohania simulii","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"131",1,"Euproctis chrysorrhoea","Thelohania similis","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"132",1,"Lymantria dispar","Thelohania similis","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"133",1,"Tipula lateralis","Thelohania tipulae","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"134",1,"Vanessa urticae","Thelohania vanessae","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body; midgut; blood; gonads"
"135",1,"Simulium ornatum","Thelohania varians","Microspora","Microsporea (Microsporida)",NA,NA,"Body cavity; Malpighian tubules"
"136",1,"Simulium reptans","Thelohania varians","Microspora","Microsporea (Microsporida)",NA,NA,"fat body; oenocytes; phagocytes"
"137",1,"Tortrix viridana","Thelohania weiseri","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"138",1,"Baetis pumilis","Thelohania wurmi","Microspora","Microsporea (Microsporida)",NA,NA,"Muscle; gut "
"139",1,"Solenopsis invicta","Thelohania sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"140",1,"Crambus trisectus","Thelohania sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body; silk glands; midgut; Malpighian tubules; meconia"
"141",1,"Tehama bonifatella","Thelohania sp.","Microspora","Microsporea (Microsporida)",NA,NA,""
"142",1,"Pieris rapae","Thelohania sp.","Microspora","Microsporea (Microsporida)",NA,NA,"general infection"
"143",1,"Aedes albopictus","Thelohania sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"144",1,"Hyalophora cecropia","Thelohania sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"145",1,"Choristoneura fumiferana","Thelohania sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"146",1,"Culex tarsalis","Amblyospora californica","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue of larvae; oenocytes, ovaries of adult females"
"147",1,"Culex territans","Amblyospora benigna","Microspora","Microsporea (Microsporida)",NA,NA,"Hemocoel; adipose tissue; fat body"
"148",1,"Phryganea grandis ","Amblyospora bicortex","Microspora","Microsporea (Microsporida)",NA,NA,"General infection"
"149",1,"Trichostegia minor","Amblyospora bicortex","Microspora","Microsporea (Microsporida)",NA,NA,"General infection"
"150",1,"Aedes squamiger","Amblyospora bolinasae","Microspora","Microsporea (Microsporida)",NA,NA,"Hemocoel; fat body"
"151",1,"Simulium aureum","Amblyospora bracteata","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"152",1,"Simulium maculatum","Amblyospora bracteata","Microspora","Microsporea (Microsporida)",NA,NA,""
"153",1,"Simulium vittatum","Amblyospora bracteata","Microspora","Microsporea (Microsporida)",NA,NA,""
"154",1,"Simulium monticola","Amblyospora bracteata","Microspora","Microsporea (Microsporida)",NA,NA,""
"155",1,"Simulium ornatum","Amblyospora bracteata","Microspora","Microsporea (Microsporida)",NA,NA,""
"156",1,"Simulium variegatum","Amblyospora bracteata","Microspora","Microsporea (Microsporida)",NA,NA,""
"157",1,"Simulium venustum","Amblyospora bracteata","Microspora","Microsporea (Microsporida)",NA,NA,""
"158",1,"Simulium hirtipes","Amblyospora bracteata","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"159",1,"Rhyacophila fuscula","Amblyospora callosa","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"160",1,"Culiseta incidens","Amblyospora campbelli","Microspora","Microsporea (Microsporida)",NA,NA,"Hemocoel; fat body"
"161",1,"Aedes canadensis","Amblyospora canadensis","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue"
"162",1,"Culex erythrothorax","Amblyospora gigantea","Microspora","Microsporea (Microsporida)",NA,NA,"Hemocoel; Oenocytes (male larvae); fat body"
"163",1,"Culiseta inornata","Amblyospora inimica","Microspora","Microsporea (Microsporida)",NA,NA,"Hemocoel, fat body"
"164",1,"Aedeomyia squamipennis","Amblyospora keenani","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue"
"165",1,"Aedes communis  ","Amblyospora khaliulini","Microspora","Microsporea (Microsporida)",NA,NA,"Hemolymph; adipose tissue"
"166",1,"Polycentropus flavomaculatus","Amblyospora lairdi","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"167",1,"Culex erraticus","Amblyospora minuta","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue"
"168",1,"Culex territans","Amblyospora opacita","Microspora","Microsporea (Microsporida)",NA,NA,"fat body; Adipose tissue of larvae; Oenocytes and ovaries of adult females"
"169",1,"Aedes nemorosus","Amblyospora opacita","Microspora","Microsporea (Microsporida)",NA,NA,""
"170",1,"Aedes vexans","Amblyospora opacita","Microspora","Microsporea (Microsporida)",NA,NA,""
"171",1,"Aedes annulipes","Amblyospora opacita","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"172",1,"Trichostegia minor","Systenostrema trichostegiae","Microspora","Microsporea (Microsporida)",NA,NA,"fat body; silk glands and digestive tract"
"173",1,"Aedes melanimon","Amblyospora unica","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue, oenocytes"
"174",1,"Aedes thibaulti","Amblyospora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"175",1,"Culex pipiens pipiens","Amblyospora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"176",1,"Aedes fitchii","Amblyospora sp.","Microspora","Microsporea (Microsporida)",NA,NA," fat body"
"177",1,"Aedes grossbecki","Amblyospora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Oenocytes; Adipose tissue"
"178",1,"Aedes hexodontus","Amblyospora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"179",1,"Aedes increpitus","Amblyospora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Oenocytes; Adipose tissue"
"180",1,"Aedes pullatus","Amblyospora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue"
"181",1,"Aedes riparius","Amblyospora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue"
"182",1,"Aedes sollicitans","Amblyospora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body; Oenocytes; Ovaries"
"183",1,"Aedes ventrovittis","Amblyospora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue"
"184",1,"Culex peccator","Amblyospora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue"
"185",1,"Culiseta impatiens","Amblyospora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue"
"186",1,"Culiseta particeps","Amblyospora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"187",1,"Mansonia dyari","Amblyospora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"188",1,"Mansonia leberi","Amblyospora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"189",1,"Coquillettidia perturbens","Amblyospora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Oenocytes, ovaries"
"190",1,"Psorophora confinnis","Amblyospora sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body; Adipose tissue of larvae; Oenocytes and ovaries of adult females"
"191",1,"Corethrella brakeleyi","Chapmanium cirritus","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue of larva"
"192",1,"Nepa cinerea","Chapmanium nepae","Microspora","Microsporea (Microsporida)",NA,NA,"fat body; midgut"
"193",1,"Culiseta melanura","Hyalinocysta chapmani","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue of larva"
"194",1,"Aedes vexans","Hyalinocysta sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"195",1,"Aedes cantans","Hyalinocysta sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"196",1,"Anopheles maculipennis","Parathelohania legeri","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue; ovaries; oenocytes"
"197",1,"Anopheles gambiae","Parathelohania africana","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue (in male); ovaries (in female); oenocytes (in both sexes)"
"198",1,"Anopheles pseudojamesi","Parathelohania anomala","Microspora","Microsporea (Microsporida)",NA,NA,"Oenocytes (in area of fat body); Adipose tissue"
"199",1,"Aedes australis","Parathelohania barra","Microspora","Microsporea (Microsporida)",NA,NA,"fat body; Adipose tissue"
"200",1,"Anopheles punctipennis","Parathelohania illinoisensis","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue in males; ovaries in females; oenocytes in both sexes"
"201",1,"Anopheles hyrcanus","Parathelohania indica","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue"
"202",1,"Anopheles quadrimaculatus","Parathelohania obesa","Microspora","Microsporea (Microsporida)",NA,NA,"fat body (larvae); ovaries and oenocytes (in adult  female)"
"203",1,"Anopheles varuna","Parathelohania obscura","Microspora","Microsporea (Microsporida)",NA,NA,""
"204",1,"Anopheles crucians","Parathelohania obesa","Microspora","Microsporea (Microsporida)",NA,NA,"fat body (in larvae); ovaries and oenocytes (in adult  female)"
"205",1,"Anopheles pseudopunctipennis franciscanus","Parathelohania periculosa","Microspora","Microsporea (Microsporida)",NA,NA,"Oenocytes and adipose tissue (male larvae); oenocytes (adult females)"
"206",1,"Anopheles albimanus","Parathelohania sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue; Oenocytes; Ovaries"
"207",1,"Anopheles barbirostris","Parathelohania sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"208",1,"Anopheles bradleyi","Parathelohania sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"209",1,"Anopheles funestus","Parathelohania sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body; Oenocytes, Ovaries"
"210",1,"Anopheles atroparvus","Parathelohania sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"211",1,"Anopheles pharoensis","Parathelohania sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body, Oenocytes, Ovaries"
"212",1,"Anopheles pseudopunctipennis","Parathelohania sp.","Microspora","Microsporea (Microsporida)",NA,NA,""
"213",1,"Anopheles subpictus","Parathelohania sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"214",1,"Anopheles triannulatus","Parathelohania sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"215",1,"Anopheles vagus","Parathelohania sp.","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue"
"216",1,"Anopheles walkeri","Parathelohania sp.","Microspora","Microsporea (Microsporida)",NA,NA,""
"217",1,"Simulium tuberosum","Pegmatheca simulii","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue"
"218",1,"Wyeomyia vanduzeei","Pilosporella fishii","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"219",1,"Aedes triseriatus","Pilosporella chapmani","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue"
"220",1,"Tabanus lineola","Systenostrema tabani","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue"
"221",1,"Ceratopogon sp.","Toxoglugea vibrio","Microspora","Microsporea (Microsporida)",NA,NA,"Adipose tissue of larva"
"222",1,"Orthocladius sp.","Toxoglugea bacilliformis","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"223",1,"Endochironomus juncicola","Toxoglugea bacilliformis","Microspora","Microsporea (Microsporida)",NA,NA,""
"224",1,"Chironomus sp.","Toxoglugea bacilliformis","Microspora","Microsporea (Microsporida)",NA,NA,""
"225",1,"Calliphora vicina","Toxoglugea calliphorae","Microspora","Microsporea (Microsporida)",NA,NA,"Malpighian tubules; fat body"
"226",1,"Chironomus sp.","Toxoglugea chironomi","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"227",1,"Calliphora vomitoria","Toxoglugea calliphorae","Microspora","Microsporea (Microsporida)",NA,NA,"Malpighian tubules; fat body"
"228",1,"Chloroperla sp.","Toxoglugea chloroperlae","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"229",1,"Aphis rumicis","Toxoglugea fanthami","Microspora","Microsporea (Microsporida)",NA,NA,"Malpighian tubules; fat body"
