"","presence","Host","Pathogen","HighTaxon","LowTaxon","LogMaxDose","HostStageTested","HostTissueInfected"
"1",1,"Phormia regina","Octosporea muscaedomesticae","Microspora","Microsporea (Microsporida)",NA,NA,"Midgut epithelium"
"2",1,"Camnula pellucida","Nosema locustae","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"3",1,"Ostrinia nubilalis","Nosema pyrausta","Microspora","Microsporea (Microsporida)",NA,NA,"Malpighian tubules, silk glands, midgut; fat body; Muscle tissue."
"4",1,"Anopheles gambiae","Vavraia culicis","Microspora","Microsporea (Microsporida)",NA,NA,"Malpighian tubules; fat body; intestine"
"5",1,"Aedes cantator","Amblyospora connecticus","Microspora","Microsporea (Microsporida)",NA,NA,""
"6",1,"Hypera punctata","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"7",1,"Agrotis ipsilon","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"8",1,"Xestia badinodis","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"9",1,"Anticarsia gemmatalis","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"10",1,"Chrysodeixis eriosoma","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"11",1,"Cosmia exigua","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"12",1,"Diaphania pyloalis","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"13",1,"Helicoverpa armigera","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"14",1,"Helicoverpa zea","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"15",1,"Heliothis virescens","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"16",1,"Hyphantria cunea","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"17",1,"Pseudaletia unipuncta","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"18",1,"Ostrinia nubilalis","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"19",1,"Pieris rapae","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"20",1,"Hypena scabra","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"21",1,"Pseudoplusia includens","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"22",1,"Spodoptera exigua","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"23",1,"Spodoptera frugiperda","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"24",1,"Spodoptera littoralis","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"25",1,"Spodoptera litura","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"26",1,"Spodoptera ornithogalli","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"27",1,"Trichoplusia ni","Nomuraea rileyi","Deuteromycetes","unknown",NA,NA,""
"28",1,"Blaps mortisaga","Chytridiopsis socius","Microspora","Microsporea (Minisporida)",NA,NA,"Intestinal epithelium"
"29",1,"Helodes minutes","Chytridiopsis aquaticus","Microspora","Microsporea (Minisporida)",NA,NA,"Intestinal epithelium"
"30",1,"Diaperis boleti","Chytridiopsis clerci","Microspora","Microsporea (Minisporida)",NA,NA,"Intestinal epithelium"
"31",1,"Ips typographus","Chytridiopsis typographi ","Microspora","Microsporea (Minisporida)",NA,NA,"Midgut epithelium"
"32",1,"Sciara sp.","Hessea squamosa","Microspora","Microsporea (Minisporida)",NA,NA,"Gut epithelium of larva"
